Generation;Worst;0-10%;10-20%;20-30%;30-40%;40-50%;50-60%;60-70%;70-80%;80-90%;90-100%;Best
0;0,040000;0,250560;0,272000;0,272000;0,285760;0,296000;0,296000;0,327760;0,432000;0,432000;0,452800;0,640000
1;0,056000;0,257600;0,272000;0,272080;0,295200;0,296000;0,308720;0,430240;0,432000;0,432000;0,459200;0,640000
2;0,088000;0,258000;0,272000;0,285040;0,296000;0,301360;0,422400;0,432000;0,432000;0,432000;0,471920;0,640000
3;0,056000;0,257680;0,272000;0,291440;0,296000;0,398240;0,432000;0,432000;0,432000;0,432000;0,492640;0,640000
4;0,104000;0,261840;0,280080;0,296000;0,352160;0,432000;0,432000;0,432000;0,432000;0,432000;0,514880;0,680000
5;0,088000;0,260640;0,284560;0,296000;0,373600;0,432000;0,432000;0,432000;0,432000;0,432000;0,533200;0,688000
6;0,104000;0,266960;0,293680;0,353440;0,432000;0,432000;0,432000;0,432000;0,432000;0,432000;0,565040;0,704000
7;0,088000;0,263760;0,295600;0,394480;0,432000;0,432000;0,432000;0,432000;0,432000;0,436480;0,603520;0,704000
8;0,112000;0,271760;0,305120;0,429440;0,432000;0,432000;0,432000;0,432000;0,432000;0,437600;0,616000;0,704000
9;0,048000;0,270240;0,333680;0,432000;0,432000;0,432000;0,432000;0,432000;0,432000;0,457200;0,629600;0,704000
10;0,072000;0,276880;0,370320;0,432000;0,432000;0,432000;0,432000;0,432000;0,432000;0,462720;0,636720;0,704000
11;0,072000;0,279200;0,415840;0,432000;0,432000;0,432000;0,432000;0,432000;0,432000;0,467760;0,643360;0,704000
12;0,152000;0,284480;0,420240;0,432000;0,432000;0,432000;0,432000;0,432000;0,432000;0,483680;0,649440;0,704000
13;0,176000;0,299600;0,431360;0,432000;0,432000;0,432000;0,432000;0,432000;0,432000;0,503280;0,658400;0,704000
14;0,272000;0,312400;0,431680;0,432000;0,432000;0,432000;0,432000;0,432000;0,432400;0,541840;0,662640;0,704000
15;0,032000;0,313600;0,432000;0,432000;0,432000;0,432000;0,432000;0,432000;0,444640;0,582400;0,668160;0,704000
16;0,072000;0,309200;0,432000;0,432000;0,432000;0,432000;0,432000;0,432000;0,445280;0,588000;0,668480;0,704000
17;0,072000;0,333440;0,432000;0,432000;0,432000;0,432000;0,432000;0,432000;0,473840;0,613840;0,672800;0,704000
18;0,072000;0,335600;0,432000;0,432000;0,432000;0,432000;0,432000;0,432000;0,500400;0,623840;0,673120;0,704000
19;0,200000;0,322880;0,432000;0,432000;0,432000;0,432000;0,432000;0,432000;0,514080;0,624240;0,673920;0,704000
20;0,120000;0,316720;0,432000;0,432000;0,432000;0,432000;0,432000;0,432560;0,524560;0,629840;0,675520;0,704000
21;0,120000;0,290240;0,424800;0,432000;0,432000;0,432000;0,432000;0,442240;0,560560;0,635120;0,677840;0,704000
22;0,256000;0,306880;0,432000;0,432000;0,432000;0,432000;0,432000;0,481680;0,589920;0,642160;0,681440;0,704000
23;0,224000;0,320640;0,432000;0,432000;0,432000;0,432000;0,436160;0,520640;0,603760;0,646400;0,683840;0,704000
24;0,224000;0,338080;0,432000;0,432000;0,432000;0,432000;0,441280;0,529360;0,605600;0,650560;0,687120;0,704000
25;0,272000;0,321360;0,432000;0,432000;0,432000;0,432000;0,442160;0,527360;0,611200;0,649840;0,685120;0,712000
26;0,248000;0,302000;0,428000;0,432000;0,432000;0,432000;0,434480;0,506560;0,598480;0,642560;0,682800;0,712000
27;0,200000;0,294560;0,415680;0,432000;0,432000;0,432000;0,439280;0,515360;0,602720;0,643600;0,684160;0,712000
28;0,176000;0,303920;0,426800;0,432000;0,432000;0,432000;0,436720;0,516160;0,605920;0,645200;0,687120;0,712000
29;0,264000;0,313760;0,431600;0,432000;0,432000;0,432000;0,440000;0,535680;0,617360;0,649920;0,689680;0,712000
30;0,136000;0,297280;0,424320;0,432000;0,432000;0,432000;0,454720;0,556080;0,620960;0,651200;0,689200;0,712000
31;0,216000;0,326000;0,431840;0,432000;0,432000;0,432000;0,462640;0,561280;0,620560;0,650720;0,690000;0,712000
32;0,272000;0,342080;0,432000;0,432000;0,432000;0,432160;0,479680;0,576400;0,627760;0,656640;0,690960;0,712000
33;0,256000;0,330160;0,432000;0,432000;0,432000;0,432000;0,473360;0,569680;0,626480;0,656320;0,689600;0,712000
34;0,272000;0,314720;0,432000;0,432000;0,432000;0,433040;0,491200;0,578720;0,631760;0,658800;0,690720;0,712000
35;0,272000;0,314880;0,430960;0,432000;0,432000;0,437280;0,508000;0,589920;0,633200;0,663280;0,693280;0,712000
36;0,272000;0,336320;0,432000;0,432000;0,432000;0,440800;0,519280;0,599520;0,637520;0,666240;0,693360;0,712000
37;0,080000;0,332160;0,432000;0,432000;0,432000;0,433520;0,480800;0,572400;0,627840;0,660960;0,691120;0,712000
