Generation;Worst;0-10%;10-20%;20-30%;30-40%;40-50%;50-60%;60-70%;70-80%;80-90%;90-100%;Najboljši;Povprečje
0;0,031405;0,037066;0,038512;0,040579;0,066860;0,139339;0,217314;0,239669;0,379628;0,588636;0,699835;0,700000;0,244744
1;0,000000;0,000000;0,044835;0,182355;0,225950;0,322355;0,480165;0,603512;0,696736;0,700000;0,700785;0,715702;0,395669
2;0,000000;0,000000;0,037686;0,207686;0,305909;0,502603;0,585083;0,684917;0,700000;0,700000;0,701570;0,715702;0,442545
3;0,000000;0,000000;0,094050;0,260248;0,495950;0,607562;0,690868;0,700000;0,700000;0,700000;0,702727;0,715702;0,495140
4;0,000000;0,003884;0,230041;0,521777;0,630909;0,696198;0,700000;0,700000;0,700000;0,700000;0,702727;0,715702;0,558554
5;0,000000;0,000000;0,232438;0,568388;0,671364;0,699793;0,700000;0,700000;0,700000;0,700000;0,703223;0,715702;0,567521
6;0,000000;0,001901;0,336777;0,618264;0,688760;0,700000;0,700000;0,700000;0,700000;0,700000;0,703223;0,715702;0,584893
7;0,000000;0,000000;0,364959;0,615537;0,678843;0,699959;0,700000;0,700000;0,700000;0,700000;0,702355;0,715702;0,586165
8;0,000000;0,000000;0,198512;0,617769;0,686777;0,700000;0,700000;0,700000;0,700000;0,700000;0,703140;0,715702;0,570620
9;0,000000;0,133471;0,591901;0,674504;0,700000;0,700000;0,700000;0,700000;0,700000;0,700000;0,702355;0,715702;0,630223
10;0,000000;0,012066;0,496405;0,669793;0,699752;0,700000;0,700000;0,700000;0,700000;0,700000;0,701570;0,715702;0,607959
11;0,000000;0,000000;0,506942;0,681074;0,700000;0,700000;0,700000;0,700000;0,700000;0,700000;0,701570;0,715702;0,608959
12;0,000000;0,012562;0,620785;0,695868;0,700000;0,700000;0,700000;0,700000;0,700000;0,700000;0,702851;0,715702;0,623207
13;0,000000;0,088719;0,616405;0,696653;0,700000;0,700000;0,700000;0,700000;0,700000;0,700000;0,701570;0,715702;0,630335
14;0,000000;0,014339;0,578430;0,694380;0,700000;0,700000;0,700000;0,700000;0,700000;0,700000;0,703140;0,715702;0,619029
15;0,000000;0,156488;0,669174;0,700000;0,700000;0,700000;0,700000;0,700000;0,700000;0,700000;0,705496;0,715702;0,643116
16;0,000000;0,108719;0,635289;0,699587;0,700000;0,700000;0,700000;0,700000;0,700000;0,700000;0,705496;0,715702;0,634909
17;0,000000;0,066405;0,638512;0,699917;0,700000;0,700000;0,700000;0,700000;0,700000;0,700000;0,706570;0,715702;0,631140
18;0,000000;0,020702;0,589752;0,698223;0,700000;0,700000;0,700000;0,700000;0,700000;0,700000;0,703430;0,715702;0,621211
19;0,000000;0,223760;0,656488;0,699876;0,700000;0,700000;0,700000;0,700000;0,700000;0,700000;0,704711;0,715702;0,648483
20;0,000000;0,231612;0,663595;0,700000;0,700000;0,700000;0,700000;0,700000;0,700000;0,700000;0,704091;0,715702;0,649930
21;0,000000;0,384587;0,691033;0,700000;0,700000;0,700000;0,700000;0,700000;0,700000;0,700000;0,701570;0,715702;0,667719
22;0,000000;0,476777;0,694380;0,700000;0,700000;0,700000;0,700000;0,700000;0,700000;0,700000;0,702355;0,715702;0,677351
23;0,000000;0,247397;0,672686;0,700000;0,700000;0,700000;0,700000;0,700000;0,700000;0,700000;0,703140;0,715702;0,652322
24;0,000000;0,434380;0,697438;0,700000;0,700000;0,700000;0,700000;0,700000;0,700000;0,700000;0,702355;0,715702;0,673417
25;0,000000;0,466570;0,699917;0,700000;0,700000;0,700000;0,700000;0,700000;0,700000;0,700000;0,701570;0,715702;0,676806
26;0,000000;0,421364;0,699876;0,700000;0,700000;0,700000;0,700000;0,700000;0,700000;0,700000;0,701570;0,715702;0,672281
27;0,000000;0,405909;0,699587;0,700000;0,700000;0,700000;0,700000;0,700000;0,700000;0,700000;0,703140;0,715702;0,670864
