Generation;Worst;0-10%;10-20%;20-30%;30-40%;40-50%;50-60%;60-70%;70-80%;80-90%;90-100%;Best;Average
0;0,028926;0,036661;0,038810;0,052959;0,126711;0,213686;0,232033;0,349157;0,549719;0,694413;0,700099;0,701653;0,299425
1;0,029752;0,085752;0,219835;0,252793;0,382479;0,506777;0,617653;0,685950;0,700000;0,700000;0,700298;0,701653;0,485154
2;0,057851;0,230083;0,384430;0,511240;0,602545;0,659008;0,692198;0,700000;0,700000;0,700000;0,700595;0,701653;0,588010
3;0,039669;0,227207;0,409884;0,521025;0,614083;0,660893;0,688760;0,700000;0,700000;0,700000;0,700430;0,701653;0,592228
4;0,085950;0,304529;0,503868;0,596430;0,646876;0,680364;0,695934;0,700000;0,700000;0,700000;0,700760;0,707438;0,622876
5;0,033884;0,254512;0,500992;0,601355;0,653818;0,682810;0,697124;0,700000;0,700000;0,700000;0,701521;0,718182;0,619213
6;0,039669;0,337488;0,525421;0,609587;0,654711;0,684826;0,698512;0,700000;0,700000;0,700000;0,700926;0,718182;0,631147
7;0,039669;0,320066;0,518050;0,619471;0,667207;0,687140;0,698017;0,700000;0,700000;0,700000;0,703339;0,718182;0,631329
8;0,038017;0,301917;0,484099;0,594347;0,664562;0,686678;0,697488;0,700000;0,700000;0,700000;0,702843;0,718182;0,623193
9;0,039669;0,334248;0,542975;0,630909;0,674777;0,691835;0,699174;0,700000;0,700000;0,700000;0,702479;0,718182;0,637640
10;0,070248;0,372430;0,572165;0,661488;0,688826;0,696397;0,700000;0,700000;0,700000;0,700000;0,702942;0,718182;0,649425
11;0,039669;0,344099;0,566843;0,652793;0,684364;0,695702;0,699901;0,700000;0,700000;0,700000;0,704298;0,718182;0,644800
12;0,129752;0,385554;0,591074;0,666182;0,688099;0,697719;0,700000;0,700000;0,700000;0,700000;0,703835;0,718182;0,653246
13;0,038017;0,404397;0,636463;0,676727;0,692529;0,699306;0,700000;0,700000;0,700000;0,700000;0,704165;0,719835;0,661359
14;0,124793;0,487802;0,659636;0,685983;0,696132;0,699835;0,700000;0,700000;0,700000;0,700000;0,704496;0,719835;0,673388
15;0,039669;0,507405;0,673983;0,692826;0,699372;0,700000;0,700000;0,700000;0,700000;0,700000;0,702413;0,719835;0,677600
16;0,039669;0,494645;0,674612;0,691669;0,699107;0,700000;0,700000;0,700000;0,700000;0,700000;0,703140;0,722314;0,676317
17;0,039669;0,459868;0,670116;0,694017;0,699868;0,700000;0,700000;0,700000;0,700000;0,700000;0,702314;0,722314;0,672618
18;0,054545;0,470314;0,676992;0,695107;0,699967;0,700000;0,700000;0,700000;0,700000;0,700000;0,702777;0,722314;0,674516
19;0,189256;0,583207;0,690149;0,699372;0,700000;0,700000;0,700000;0,700000;0,700000;0,700000;0,702909;0,722314;0,687564
20;0,376860;0,614512;0,690876;0,699438;0,700000;0,700000;0,700000;0,700000;0,700000;0,700000;0,703471;0,722314;0,690830
21;0,478512;0,638876;0,695471;0,700000;0,700000;0,700000;0,700000;0,700000;0,700000;0,700000;0,702446;0,722314;0,693679
22;0,039669;0,565521;0,694909;0,700000;0,700000;0,700000;0,700000;0,700000;0,700000;0,700000;0,702446;0,722314;0,686288
23;0,039669;0,576826;0,699306;0,700000;0,700000;0,700000;0,700000;0,700000;0,700000;0,700000;0,702843;0,722314;0,687898
24;0,039669;0,579967;0,700000;0,700000;0,700000;0,700000;0,700000;0,700000;0,700000;0,700000;0,701950;0,722314;0,688192
25;0,561983;0,676628;0,699901;0,700000;0,700000;0,700000;0,700000;0,700000;0,700000;0,700000;0,702347;0,722314;0,697888
26;0,071074;0,609025;0,699074;0,700000;0,700000;0,700000;0,700000;0,700000;0,700000;0,700000;0,701950;0,722314;0,691005
27;0,597521;0,678512;0,699934;0,700000;0,700000;0,700000;0,700000;0,700000;0,700000;0,700000;0,701917;0,722314;0,698036
28;0,571074;0,667273;0,699669;0,700000;0,700000;0,700000;0,700000;0,700000;0,700000;0,700000;0,703306;0,722314;0,697025
29;0,223967;0,577686;0,698017;0,700000;0,700000;0,700000;0,700000;0,700000;0,700000;0,700000;0,703207;0,722314;0,687891
