Generation;Worst;0-10%;10-20%;20-30%;30-40%;40-50%;50-60%;60-70%;70-80%;80-90%;90-100%;Najboljši;Povprečje
0;-1.000000;-1.000000;-1.000000;-1.000000;-0.627520;-0.082697;-0.026578;-0.005070;0.012245;0.048191;0.138198;0.300289;-0.354323
1;-1.000000;-1.000000;-0.548733;-0.083411;-0.028155;-0.008853;0.002290;0.017005;0.036451;0.069320;0.158349;0.300289;-0.138574
2;-1.000000;-1.000000;-0.267921;-0.043150;-0.016440;-0.001881;0.009632;0.026779;0.053043;0.082176;0.199912;0.300289;-0.095785
3;-1.000000;-1.000000;-0.398488;-0.059180;-0.020117;-0.003043;0.009992;0.028579;0.058129;0.093309;0.216705;0.310455;-0.107411
4;-1.000000;-1.000000;-0.444985;-0.061994;-0.019108;0.002889;0.021788;0.044297;0.069822;0.115124;0.219496;0.310455;-0.105267
5;-1.000000;-1.000000;-0.129869;-0.048002;-0.015804;0.001331;0.020218;0.047699;0.076550;0.130868;0.221482;0.310455;-0.069553
6;-1.000000;-0.841764;-0.070197;-0.024199;0.001174;0.023820;0.046950;0.078722;0.117443;0.163559;0.240030;0.310455;-0.026446
7;-1.000000;-0.829006;-0.064500;-0.020892;0.001452;0.024539;0.053967;0.084673;0.113172;0.157153;0.235114;0.310455;-0.024433
8;-1.000000;-0.879008;-0.068370;-0.024038;-0.000804;0.021910;0.048651;0.081705;0.125263;0.180496;0.250469;0.310455;-0.026372
9;-1.000000;-0.553958;-0.026713;-0.008879;0.013163;0.045954;0.077273;0.108695;0.144184;0.181113;0.253251;0.344772;0.023408
10;-1.000000;-0.775125;-0.035481;-0.005765;0.012353;0.038519;0.066604;0.101235;0.138799;0.177972;0.261442;0.344772;-0.001945
11;-1.000000;-0.866509;-0.038926;-0.007477;0.013083;0.048420;0.077554;0.101401;0.143861;0.186447;0.273068;0.345939;-0.006908
12;-1.000000;-0.537811;-0.029311;-0.009356;0.004429;0.029654;0.062901;0.100072;0.147179;0.185206;0.275352;0.345939;0.022832
13;-1.000000;-0.630939;-0.031546;-0.010549;0.008834;0.035532;0.058025;0.092031;0.138890;0.180578;0.267445;0.345939;0.010830
14;-1.000000;-0.483113;-0.022984;-0.001985;0.020167;0.038227;0.066152;0.116794;0.150180;0.202557;0.307524;0.388048;0.039352
15;-1.000000;-0.673042;-0.022949;-0.002967;0.018692;0.040350;0.062725;0.117175;0.152029;0.200168;0.302588;0.388048;0.019477
16;-1.000000;-0.570922;-0.011592;0.004102;0.029758;0.058342;0.093509;0.135611;0.166858;0.210975;0.307694;0.395152;0.042433
17;-1.000000;-0.522004;-0.007712;0.015747;0.037421;0.069822;0.113303;0.138233;0.167631;0.219728;0.314529;0.395152;0.054670
18;-1.000000;-0.572299;-0.009741;0.014022;0.042002;0.078256;0.115453;0.136434;0.170111;0.218708;0.310145;0.395152;0.050309
19;-1.000000;-0.765381;-0.006266;0.018202;0.047152;0.077525;0.113467;0.138150;0.170571;0.217773;0.301064;0.395152;0.031226
20;-1.000000;-0.617267;-0.004417;0.022626;0.045906;0.074502;0.112098;0.140713;0.173717;0.216989;0.315075;0.406593;0.047994
21;-1.000000;-0.466866;-0.004147;0.025269;0.047357;0.079435;0.114556;0.146854;0.191494;0.243378;0.343982;0.406593;0.072131
22;-1.000000;-0.665884;-0.004860;0.023433;0.059279;0.103998;0.128650;0.159868;0.194587;0.241852;0.347962;0.416637;0.058889
23;-1.000000;-0.464909;0.012310;0.048335;0.087865;0.118606;0.147844;0.181587;0.209612;0.263760;0.368589;0.416637;0.097360
24;-1.000000;-0.352505;0.024185;0.059865;0.091521;0.121736;0.149388;0.188807;0.225281;0.271761;0.358069;0.416637;0.113811
25;-1.000000;-0.365681;0.023685;0.061787;0.095560;0.123745;0.148048;0.178229;0.210140;0.262360;0.365861;0.416637;0.110373
26;-1.000000;-0.417357;0.022424;0.066515;0.101301;0.133527;0.162436;0.194324;0.232015;0.278771;0.367612;0.416637;0.114157
27;-1.000000;-0.156114;0.050779;0.099812;0.132580;0.157309;0.180397;0.211379;0.239987;0.280001;0.367976;0.416637;0.156411
28;-1.000000;-0.303052;0.045950;0.093623;0.128695;0.163950;0.186081;0.218631;0.249694;0.280159;0.350925;0.416637;0.141466
29;-1.000000;-0.457780;0.038728;0.084972;0.119781;0.152875;0.180424;0.203616;0.247190;0.284168;0.366396;0.416637;0.122037
30;-1.000000;-0.117454;0.035235;0.072835;0.104584;0.143852;0.176385;0.195748;0.226581;0.262878;0.348995;0.416637;0.144964
31;-1.000000;-0.101538;0.045834;0.080283;0.107923;0.145318;0.178731;0.203386;0.239312;0.270212;0.338951;0.416637;0.150841
