Generation;Worst;0-10%;10-20%;20-30%;30-40%;40-50%;50-60%;60-70%;70-80%;80-90%;90-100%;Best;Average
0;-1,000000;-1,000000;-1,000000;-1,000000;-1,000000;-1,000000;-0,850407;-0,099534;-0,012577;0,028199;0,136261;0,365215;-0,579806
1;-1,000000;-0,593664;-0,093080;-0,040153;-0,017830;-0,001997;0,007725;0,025643;0,055885;0,100478;0,225907;0,365215;-0,033108
2;-1,000000;-0,532431;-0,075167;-0,028177;-0,011154;0,001179;0,014850;0,038017;0,066471;0,106525;0,222330;0,365215;-0,019756
3;-1,000000;-0,576498;-0,083886;-0,039397;-0,019662;0,000821;0,014825;0,035258;0,066285;0,111072;0,226140;0,365215;-0,026504
4;-1,000000;-0,750344;-0,102813;-0,042604;-0,016431;0,004945;0,020757;0,045768;0,079962;0,123277;0,258177;0,365215;-0,037930
5;-1,000000;-0,483103;-0,063965;-0,025077;0,003156;0,017157;0,036414;0,067722;0,101713;0,143787;0,285653;0,365215;0,008346
6;-1,000000;-0,435322;-0,070273;-0,029382;-0,002155;0,006687;0,023969;0,056087;0,093149;0,129866;0,271490;0,365215;0,004412
7;-1,000000;-0,615926;-0,077065;-0,027327;-0,000772;0,011117;0,031691;0,061701;0,098796;0,145051;0,307458;0,365215;-0,006528
8;-1,000000;-0,786268;-0,060327;-0,017890;0,001494;0,019304;0,037765;0,067940;0,102696;0,146877;0,302064;0,401935;-0,018635
9;-1,000000;-0,579058;-0,049618;-0,011263;0,005692;0,024821;0,048182;0,075320;0,100550;0,160849;0,313892;0,401935;0,008937
10;-1,000000;-0,569791;-0,042680;-0,007708;0,010864;0,034321;0,051227;0,081015;0,111284;0,181196;0,319533;0,401935;0,016926
11;-1,000000;-0,629539;-0,019231;0,005255;0,025467;0,050257;0,075851;0,105475;0,142190;0,191834;0,323669;0,401935;0,027123
12;-1,000000;-0,683107;-0,013468;0,011410;0,038816;0,060316;0,098519;0,141831;0,177658;0,248772;0,365495;0,430137;0,044624
13;-1,000000;-0,442895;0,001722;0,035356;0,065390;0,092948;0,123604;0,161282;0,193869;0,255580;0,356251;0,430137;0,084311
14;-1,000000;-0,434220;-0,002037;0,029080;0,063131;0,094143;0,118531;0,157204;0,187290;0,260580;0,377149;0,431685;0,085085
15;-1,000000;-0,681699;-0,022175;0,026701;0,060000;0,082047;0,106935;0,146322;0,178807;0,255387;0,384168;0,434668;0,053649
16;-1,000000;-0,574445;0,008985;0,052194;0,075815;0,101665;0,129457;0,161082;0,201687;0,298501;0,404748;0,454156;0,085969
17;-1,000000;-0,232162;0,019496;0,056721;0,081436;0,108654;0,131838;0,167139;0,216021;0,324129;0,414742;0,454156;0,128802
18;-1,000000;-0,514732;0,029546;0,058092;0,096579;0,126390;0,159544;0,191826;0,259507;0,358404;0,416047;0,454156;0,118120
19;-1,000000;-0,255960;0,039958;0,072685;0,106196;0,134488;0,160405;0,191747;0,250334;0,339512;0,412869;0,454156;0,145223
20;-1,000000;-0,157206;0,042223;0,072471;0,111364;0,138215;0,159266;0,185755;0,227849;0,327317;0,411010;0,454156;0,151826
21;-1,000000;-0,415587;0,032779;0,071593;0,109024;0,133999;0,156801;0,182068;0,219355;0,288688;0,399098;0,454156;0,117782
22;-1,000000;-0,228640;0,023977;0,065391;0,098572;0,125992;0,150703;0,176419;0,204223;0,273039;0,393819;0,454156;0,128350
23;-1,000000;-0,371693;0,027146;0,076338;0,104355;0,131820;0,166175;0,201097;0,239245;0,318065;0,398077;0,454156;0,129062
24;-1,000000;-0,306529;0,058468;0,096709;0,129108;0,153898;0,181450;0,208354;0,253113;0,327484;0,404778;0,454156;0,150683
25;-1,000000;-0,311310;0,042243;0,084679;0,126448;0,156651;0,183682;0,211309;0,263988;0,338746;0,408643;0,454156;0,150508
26;-1,000000;-0,151352;0,059264;0,112678;0,145197;0,172213;0,199014;0,237378;0,287863;0,345133;0,418950;0,462606;0,182634
27;-1,000000;-0,304703;0,048533;0,079296;0,113508;0,155941;0,186632;0,225966;0,280016;0,340959;0,412421;0,462606;0,153857
28;-1,000000;-0,301900;0,058501;0,103636;0,140405;0,165862;0,195265;0,232583;0,284741;0,353511;0,420120;0,462606;0,165272
29;-1,000000;-0,450752;0,047185;0,092499;0,126410;0,155797;0,181259;0,224447;0,275604;0,351106;0,420560;0,462606;0,142412
30;-1,000000;-0,242283;0,058308;0,099447;0,131431;0,165589;0,186952;0,221007;0,270724;0,343827;0,422401;0,462606;0,165740
31;-1,000000;-0,389775;0,065069;0,095755;0,129464;0,168492;0,185913;0,218185;0,260907;0,328868;0,415755;0,462606;0,147863
32;-1,000000;-0,489341;0,054564;0,094505;0,126295;0,162945;0,180312;0,204603;0,248861;0,317653;0,401408;0,462606;0,130180
33;-1,000000;-0,437935;0,048990;0,095956;0,131003;0,162840;0,181289;0,207638;0,248583;0,307352;0,396113;0,462606;0,134183
34;-1,000000;-0,338873;0,052429;0,105564;0,140490;0,174195;0,187235;0,219166;0,262224;0,321852;0,407953;0,469420;0,153224
35;-1,000000;-0,384978;0,067745;0,109683;0,145508;0,170855;0,191999;0,226568;0,262506;0,333053;0,407553;0,469420;0,153049
36;-1,000000;-0,117217;0,087221;0,130468;0,156873;0,178283;0,200769;0,228359;0,280712;0,340244;0,414987;0,469420;0,190070
37;-1,000000;-0,438947;0,051104;0,096081;0,129824;0,156263;0,185917;0,216168;0,257190;0,323323;0,411703;0,469420;0,138863
38;-1,000000;-0,542441;0,038545;0,085140;0,122409;0,148361;0,175938;0,213196;0,269682;0,336123;0,416477;0,469420;0,126343
39;-1,000000;-0,126875;0,061815;0,111689;0,138530;0,160828;0,194188;0,237122;0,292935;0,351354;0,426771;0,469420;0,184836
40;-1,000000;-0,125814;0,065060;0,096354;0,128578;0,156879;0,201325;0,261991;0,309926;0,358418;0,431487;0,469420;0,188420
41;-1,000000;-0,119489;0,078015;0,112307;0,150033;0,187970;0,235861;0,282382;0,319346;0,360708;0,425737;0,469420;0,203287
