Generation;Worst;0-10%;10-20%;20-30%;30-40%;40-50%;50-60%;60-70%;70-80%;80-90%;90-100%;Best;Average
0;0,000000;0,181429;0,333333;0,333333;0,333333;0,333333;0,333333;0,333333;0,333333;0,333333;0,562381;0,666667;0,341048
1;0,000000;0,279524;0,333333;0,333333;0,333333;0,333333;0,333333;0,333333;0,333333;0,413333;0,664762;0,666667;0,369095
2;0,000000;0,299048;0,333333;0,333333;0,333333;0,333333;0,333333;0,333333;0,380952;0,621429;0,666667;0,666667;0,396810
3;0,028571;0,295238;0,333333;0,333333;0,333333;0,333333;0,333333;0,339524;0,492381;0,652381;0,666667;0,666667;0,411286
4;0,085714;0,320476;0,333333;0,333333;0,333333;0,333333;0,334286;0,468095;0,648095;0,666667;0,666667;0,666667;0,443762
5;0,076190;0,307143;0,333333;0,333333;0,333333;0,333333;0,359048;0,522857;0,649048;0,665714;0,666667;0,666667;0,450381
6;0,028571;0,316190;0,333333;0,333333;0,333333;0,338571;0,416190;0,598095;0,651429;0,664762;0,666667;0,666667;0,465190
7;0,304762;0,330476;0,333333;0,333333;0,333333;0,337619;0,428095;0,602857;0,654762;0,664762;0,675238;0,838095;0,469381
8;0,066667;0,297143;0,333333;0,333333;0,333333;0,340952;0,495238;0,627143;0,660476;0,666667;0,675238;0,838095;0,476286
9;0,104762;0,321429;0,333333;0,333333;0,333333;0,343810;0,535238;0,649524;0,663810;0,666667;0,683810;0,838095;0,486429
10;0,304762;0,331905;0,333333;0,333333;0,333333;0,347619;0,509048;0,642381;0,660000;0,666667;0,692381;0,838095;0,485000
11;0,085714;0,285714;0,333333;0,333333;0,334762;0,390476;0,556190;0,648095;0,662857;0,666667;0,692381;0,838095;0,490381
12;0,104762;0,312857;0,333333;0,333333;0,347619;0,487143;0,636667;0,659048;0,666667;0,666667;0,700952;0,838095;0,514429
13;0,104762;0,310476;0,333333;0,333333;0,358095;0,488571;0,635238;0,656190;0,666667;0,666667;0,710000;0,838095;0,515857
14;0,057143;0,278571;0,333333;0,333333;0,344762;0,453810;0,624762;0,656190;0,666667;0,666667;0,715714;0,838095;0,507381
15;0,133333;0,307143;0,333333;0,333333;0,415238;0,587619;0,652381;0,664286;0,666667;0,666667;0,727619;0,838095;0,535429
16;0,057143;0,311429;0,333333;0,333810;0,370952;0,531905;0,637143;0,660476;0,666667;0,666667;0,728095;0,838095;0,524048
17;0,104762;0,315714;0,333333;0,333333;0,369048;0,540000;0,637619;0,660476;0,666667;0,666667;0,736190;0,838095;0,525905
