Generation;Worst;0-10%;10-20%;20-30%;30-40%;40-50%;50-60%;60-70%;70-80%;80-90%;90-100%;Najboljši;Povprečje
0;0,000000;0,074286;0,326190;0,333333;0,333333;0,333333;0,333333;0,333333;0,333333;0,333333;0,522381;0,666667;0,325619
1;0,000000;0,254762;0,333333;0,333333;0,333333;0,333333;0,333333;0,333333;0,333333;0,341905;0,586667;0,733333;0,351667
2;0,000000;0,239524;0,333333;0,333333;0,333333;0,333333;0,333333;0,333333;0,333810;0,499524;0,670476;0,733333;0,374333
3;0,000000;0,258095;0,333333;0,333333;0,333333;0,333333;0,333333;0,333333;0,396667;0,625238;0,678095;0,733333;0,395810
4;0,000000;0,287619;0,333333;0,333333;0,333333;0,333333;0,333333;0,352857;0,531905;0,659524;0,683333;0,733333;0,418190
5;0,000000;0,280952;0,333333;0,333333;0,333333;0,333333;0,334762;0,442381;0,641429;0,666667;0,688095;0,733333;0,438762
6;0,000000;0,244286;0,333333;0,333333;0,333333;0,333333;0,333333;0,408095;0,624286;0,666667;0,685238;0,733333;0,429524
7;0,000000;0,303810;0,333333;0,333333;0,333333;0,333333;0,352857;0,558095;0,662857;0,666667;0,696190;0,752381;0,457381
8;0,019048;0,292857;0,333333;0,333333;0,333333;0,334762;0,423333;0,635238;0,666190;0,666667;0,703810;0,752381;0,472286
9;0,009524;0,311429;0,333333;0,333333;0,333333;0,354286;0,577143;0,663810;0,666667;0,666667;0,714762;0,800000;0,495476
10;0,000000;0,314286;0,333333;0,333333;0,342381;0,515714;0,654286;0,666667;0,666667;0,666667;0,720000;0,800000;0,521333
11;0,285714;0,330952;0,333333;0,333333;0,398095;0,567143;0,648571;0,666667;0,666667;0,666667;0,718571;0,800000;0,533000
12;0,333333;0,333333;0,333333;0,350952;0,571905;0,653333;0,666667;0,666667;0,666667;0,666667;0,734286;0,933333;0,564381
13;0,333333;0,333333;0,333333;0,335714;0,493810;0,640476;0,665238;0,666667;0,666667;0,666667;0,737143;0,933333;0,553905
