Generation;Worst;0-10%;10-20%;20-30%;30-40%;40-50%;50-60%;60-70%;70-80%;80-90%;90-100%;Najboljši;Povprečje
0;-1,000000;-1,000000;-1,000000;-1,000000;-1,000000;-1,000000;-1,000000;-1,000000;-1,000000;-1,000000;-0,408378;0,612372;-0,940838
1;-1,000000;-1,000000;-1,000000;-0,728661;-0,305159;0,000000;0,000000;0,000000;0,355494;0,612372;0,612372;0,612372;-0,145358
2;-1,000000;-1,000000;-1,000000;-0,433822;0,000000;0,000000;0,051002;0,542706;0,612372;0,612372;0,612372;0,612372;-0,000300
3;-1,000000;-1,000000;-0,506055;0,000000;0,000000;0,181514;0,611065;0,612372;0,612372;0,612372;0,612372;0,612372;0,173601
4;-1,000000;-1,000000;-0,078668;0,000000;0,098264;0,480295;0,612372;0,612372;0,612372;0,612372;0,612372;0,612372;0,256175
5;-1,000000;-1,000000;-0,023013;0,064552;0,361158;0,601069;0,612372;0,612372;0,612372;0,612372;0,612372;0,612372;0,306563
6;-1,000000;-1,000000;-0,230540;0,074332;0,204296;0,468333;0,605834;0,612372;0,612372;0,612372;0,612372;0,612372;0,257175
7;-1,000000;-0,567563;0,000000;0,128806;0,394665;0,600611;0,612372;0,612372;0,612372;0,612372;0,612372;0,612372;0,361838
8;-1,000000;-0,426912;0,066723;0,444708;0,599295;0,612372;0,612372;0,612372;0,612372;0,612372;0,612372;0,612372;0,435805
9;-1,000000;-0,195442;0,396525;0,597594;0,603218;0,612372;0,612372;0,612372;0,612372;0,612372;0,612372;0,612372;0,507613
10;-1,000000;-0,149569;0,405477;0,597594;0,607110;0,612372;0,612372;0,612372;0,612372;0,612372;0,612372;0,612372;0,513485
11;-1,000000;-0,143217;0,120140;0,588271;0,599295;0,611001;0,612372;0,612372;0,612372;0,612372;0,612372;0,612372;0,483735
12;-1,000000;-0,429116;0,417072;0,595445;0,599295;0,605802;0,612372;0,612372;0,612372;0,612372;0,617554;0,664189;0,485554
13;-1,000000;-0,132966;0,506386;0,597146;0,599295;0,612372;0,612372;0,612372;0,612372;0,612372;0,633099;0,664189;0,526482
14;-1,000000;-0,164719;0,188066;0,490172;0,595397;0,599295;0,609757;0,612372;0,612372;0,612372;0,633099;0,664189;0,478819
15;-1,000000;-0,329851;0,000000;0,292461;0,523413;0,596744;0,607142;0,612372;0,612372;0,612372;0,638281;0,664189;0,416531
16;-1,000000;-0,103453;0,044636;0,435056;0,587359;0,599295;0,608449;0,612372;0,612372;0,612372;0,633099;0,664189;0,464156
17;-0,116667;0,147131;0,441411;0,586871;0,599295;0,601885;0,612372;0,612372;0,612372;0,612372;0,644979;0,664189;0,547106
18;-1,000000;-0,182998;0,474131;0,578588;0,599295;0,601911;0,612372;0,612372;0,612372;0,612372;0,639797;0,664189;0,516021
19;-1,000000;0,144938;0,549213;0,577707;0,599753;0,612372;0,612372;0,612372;0,612372;0,612372;0,633099;0,664189;0,556657
20;-0,084921;0,210875;0,504449;0,573382;0,591554;0,603218;0,612372;0,612372;0,612372;0,612372;0,627917;0,664189;0,556089
21;-1,000000;0,060278;0,444010;0,558199;0,591547;0,604526;0,612372;0,612372;0,612372;0,612372;0,622736;0,664189;0,533078
22;-1,000000;-0,189340;0,399568;0,528783;0,595445;0,603218;0,612372;0,612372;0,612372;0,612372;0,627917;0,664189;0,501508
23;-1,000000;-0,006103;0,451960;0,566071;0,595894;0,607142;0,612372;0,612372;0,612372;0,612372;0,627917;0,664189;0,529237
24;-1,000000;0,197941;0,509355;0,590369;0,599295;0,607142;0,612372;0,612372;0,612372;0,612372;0,638281;0,664189;0,559187
25;-1,000000;0,008958;0,465507;0,565246;0,593342;0,599295;0,609757;0,612372;0,612372;0,612372;0,648644;0,664189;0,532787
26;-0,017376;0,357383;0,536371;0,585140;0,596744;0,600577;0,612372;0,612372;0,612372;0,612372;0,659007;0,664189;0,578471
27;-1,000000;0,160426;0,538787;0,590791;0,598445;0,603192;0,612372;0,612372;0,612372;0,612372;0,659007;0,664189;0,560014
28;-1,000000;0,137135;0,473046;0,572259;0,590379;0,599295;0,611039;0,612372;0,612372;0,612372;0,646794;0,664189;0,546706
29;-1,000000;0,003228;0,457616;0,555983;0,579451;0,597594;0,612346;0,612372;0,612372;0,612372;0,634581;0,664189;0,527792
30;-1,000000;0,176501;0,544477;0,578550;0,592070;0,604500;0,612372;0,612372;0,612372;0,612372;0,634615;0,664189;0,558020
31;-1,000000;0,192087;0,537050;0,577258;0,595043;0,600577;0,612372;0,612372;0,612372;0,612372;0,641647;0,664189;0,559315
32;-1,000000;0,134993;0,460501;0,567516;0,595043;0,599295;0,601911;0,612372;0,612372;0,612372;0,644193;0,664189;0,544057
33;-1,000000;0,149912;0,449294;0,535322;0,586408;0,599295;0,599295;0,611065;0,612372;0,612372;0,635645;0,664189;0,539098
34;-1,000000;-0,129819;0,440570;0,495422;0,556749;0,591720;0,599295;0,609336;0,612372;0,612372;0,627917;0,664189;0,501594
35;-1,000000;0,020113;0,440230;0,499648;0,555400;0,588548;0,596744;0,603218;0,612372;0,612372;0,627917;0,664189;0,515656
36;-1,000000;0,082580;0,439985;0,508255;0,567357;0,593342;0,599295;0,611065;0,612372;0,612372;0,627917;0,664189;0,525454
37;0,034531;0,298710;0,477244;0,552160;0,588098;0,595043;0,601911;0,612372;0,612372;0,612372;0,633099;0,664189;0,558338
38;-1,000000;0,143480;0,462213;0,537735;0,587723;0,592223;0,599295;0,608449;0,612372;0,612372;0,631249;0,664189;0,538711
39;0,079766;0,342784;0,484695;0,539125;0,586862;0,590791;0,598758;0,605834;0,612372;0,612372;0,622736;0,664189;0,559633
40;-1,000000;0,179182;0,502760;0,570591;0,589069;0,593074;0,600603;0,612372;0,612372;0,612372;0,651722;0,664189;0,552412
41;-1,000000;0,007511;0,463037;0,543978;0,587686;0,593342;0,601911;0,612372;0,612372;0,612372;0,646541;0,664189;0,528112
42;-1,000000;0,046927;0,460760;0,548300;0,588135;0,595894;0,599295;0,612372;0,612372;0,612372;0,634581;0,664189;0,531101
43;-1,000000;0,116393;0,439165;0,534866;0,586376;0,592492;0,599295;0,601911;0,612372;0,612372;0,630996;0,664189;0,532624
44;0,017143;0,302025;0,502163;0,572016;0,590379;0,597594;0,599295;0,611065;0,612372;0,612372;0,641359;0,664189;0,564064
45;-1,000000;0,111624;0,469684;0,560022;0,588172;0,591641;0,599295;0,600603;0,612372;0,612372;0,629514;0,664189;0,537530
46;-1,000000;-0,134264;0,394996;0,468098;0,568098;0,593342;0,599295;0,601911;0,612372;0,612372;0,631110;0,664189;0,494733
47;-1,000000;0,228834;0,446403;0,521980;0,579404;0,589069;0,597594;0,599295;0,611065;0,612372;0,625929;0,664189;0,541195
48;-1,000000;-0,133602;0,423941;0,500674;0,559062;0,588583;0,596744;0,601911;0,612372;0,612372;0,624332;0,664189;0,498639
49;-0,017376;0,222381;0,420084;0,494011;0,550175;0,595894;0,599295;0,611065;0,612372;0,612372;0,632846;0,664189;0,535049
50;-1,000000;-0,232301;0,400454;0,481741;0,541881;0,588135;0,597594;0,601885;0,612372;0,612372;0,627917;0,664189;0,483205
51;-1,000000;0,204751;0,441131;0,510795;0,570170;0,595894;0,599295;0,607116;0,612372;0,612372;0,633099;0,664189;0,538700
52;0,420084;0,450653;0,536179;0,589106;0,595043;0,599295;0,599295;0,610987;0,612372;0,612372;0,638281;0,664189;0,584359
53;-1,000000;0,247070;0,551424;0,589967;0,599295;0,599295;0,599295;0,600577;0,612346;0,612372;0,639762;0,664189;0,565141
54;0,085697;0,379849;0,551527;0,579478;0,590379;0,599295;0,599295;0,601956;0,612372;0,612372;0,644944;0,664189;0,577147
55;0,085598;0,382184;0,543254;0,581886;0,592107;0,599295;0,599295;0,602002;0,612372;0,612372;0,633099;0,664189;0,575787
56;0,096561;0,410550;0,546947;0,586170;0,597594;0,599295;0,599295;0,608592;0,612372;0,612372;0,633099;0,664189;0,580629
57;-1,000000;0,339367;0,546770;0,578502;0,590818;0,599295;0,599295;0,607142;0,612372;0,612372;0,633099;0,664189;0,571903
58;-1,000000;0,314144;0,555529;0,584429;0,592492;0,599295;0,599295;0,611065;0,612372;0,612372;0,633099;0,664189;0,571409
59;0,034531;0,337435;0,531156;0,575736;0,590379;0,595894;0,599295;0,607142;0,612372;0,612372;0,633099;0,664189;0,569488
60;-1,000000;0,067921;0,511763;0,573131;0,590379;0,593342;0,599295;0,599295;0,612372;0,612372;0,636431;0,664189;0,539630
61;-1,000000;0,081058;0,500262;0,567036;0,590379;0,595043;0,599295;0,599295;0,608449;0,612372;0,626102;0,664189;0,537929
62;0,034531;0,259567;0,502135;0,573601;0,590791;0,596744;0,599295;0,600603;0,612372;0,612372;0,633099;0,664189;0,558058
63;0,034531;0,240935;0,510583;0,568895;0,589555;0,595043;0,599295;0,604526;0,612372;0,612372;0,633099;0,664189;0,556668
64;-1,000000;0,088140;0,468258;0,563342;0,579717;0,589967;0,598445;0,599295;0,609828;0,612372;0,633099;0,664189;0,534246
