Generation;Worst;0-10%;10-20%;20-30%;30-40%;40-50%;50-60%;60-70%;70-80%;80-90%;90-100%;Best;Average
0;-1,000000;-1,000000;-1,000000;-1,000000;-1,000000;-1,000000;-1,000000;-1,000000;-0,980619;-0,288832;0,350160;0,612372;-0,791929
1;-1,000000;-1,000000;-1,000000;-0,606202;-0,213060;-0,012383;0,033240;0,193076;0,403172;0,573894;0,609831;0,612372;-0,101843
2;-1,000000;-1,000000;-0,877292;-0,352478;-0,005366;0,026268;0,157822;0,394955;0,545436;0,604500;0,628164;0,716285;0,012201
3;-1,000000;-1,000000;-0,941856;-0,241750;0,000000;0,051272;0,217963;0,404627;0,557014;0,603494;0,627724;0,716285;0,027849
4;-1,000000;-1,000000;-0,774656;0,000000;0,033441;0,160549;0,354202;0,504962;0,595051;0,608709;0,638767;0,716285;0,112103
5;-1,000000;-1,000000;-0,614806;0,003539;0,086715;0,243564;0,417525;0,542398;0,597000;0,609431;0,650949;0,869048;0,153631
6;-1,000000;-1,000000;-0,364806;0,045167;0,175486;0,353914;0,479130;0,578039;0,601390;0,612162;0,685112;0,886197;0,216559
7;-1,000000;-1,000000;-0,457167;0,086607;0,266657;0,450407;0,551974;0,595013;0,601711;0,612372;0,706441;0,886197;0,241402
8;-1,000000;-1,000000;-0,109162;0,227230;0,446708;0,547584;0,588942;0,600436;0,611321;0,612372;0,729146;0,886197;0,325458
9;-1,000000;-0,827657;0,069295;0,276227;0,473537;0,572404;0,594551;0,609082;0,612372;0,612372;0,771678;0,886197;0,376386
10;-1,000000;-0,681587;0,040509;0,192227;0,420710;0,551683;0,593217;0,611531;0,612372;0,612372;0,762409;0,886197;0,371545
11;-1,000000;-1,000000;0,047840;0,252811;0,473287;0,564140;0,587419;0,607716;0,612372;0,612372;0,717615;0,886197;0,347557
12;-1,000000;-0,750863;0,124083;0,442637;0,552931;0,584856;0,603132;0,612372;0,612372;0,612372;0,707689;0,886197;0,410158
13;-1,000000;-1,000000;0,030457;0,334788;0,513404;0,580722;0,593342;0,610933;0,612372;0,612372;0,696673;0,886197;0,358506
14;-1,000000;-0,900000;0,127501;0,454716;0,551600;0,585608;0,599186;0,612372;0,612372;0,612372;0,701784;0,886197;0,395751
15;-1,000000;-0,750000;0,118326;0,410559;0,522294;0,577497;0,597152;0,612372;0,612372;0,612372;0,688992;0,886197;0,400194
16;-1,000000;-1,000000;-0,216601;0,295163;0,470480;0,568545;0,596308;0,612372;0,612372;0,612372;0,658289;0,886197;0,320930
17;-1,000000;-1,000000;-0,279440;0,234892;0,446149;0,553573;0,591771;0,609510;0,612372;0,612372;0,658289;0,886197;0,303949
18;-1,000000;-1,000000;-0,049539;0,240397;0,442248;0,541470;0,586788;0,604894;0,612372;0,612372;0,675889;0,886197;0,326689
19;-1,000000;-0,804246;0,128181;0,357183;0,473409;0,539986;0,583297;0,598658;0,611952;0,612372;0,701843;0,906061;0,380264
20;-1,000000;-0,950000;0,116956;0,349455;0,491562;0,570884;0,589744;0,602016;0,612372;0,612372;0,661331;0,906061;0,365669
21;-1,000000;-0,644010;0,230587;0,449713;0,545605;0,582830;0,595052;0,609186;0,612372;0,612372;0,684010;0,906061;0,427772
22;-1,000000;-0,800000;0,063513;0,281520;0,454499;0,555846;0,583793;0,599216;0,612372;0,612372;0,684010;0,906061;0,364714
23;-1,000000;-0,744599;0,145482;0,309045;0,470850;0,564418;0,588628;0,604965;0,612372;0,612372;0,710415;0,906061;0,387395
24;-1,000000;-0,900000;0,108886;0,262007;0,428054;0,564958;0,586573;0,602914;0,612372;0,612372;0,697577;0,906061;0,357571
25;-1,000000;-0,430379;0,168102;0,346983;0,526158;0,579345;0,594365;0,610125;0,612372;0,612372;0,703970;0,906061;0,432341
26;-1,000000;-0,544287;0,151019;0,366044;0,546924;0,580300;0,592402;0,607072;0,612372;0,612372;0,696766;0,906061;0,422099
