Generation;Worst;0-10%;10-20%;20-30%;30-40%;40-50%;50-60%;60-70%;70-80%;80-90%;90-100%;Best;Average
0;0,000046;0,000332;0,001895;0,012070;0,047990;0,097275;0,193291;0,422453;0,661132;0,781307;0,787306;0,829126;0,300505
1;0,000184;0,039016;0,171078;0,360660;0,530289;0,649766;0,719456;0,777500;0,783660;0,784089;0,799963;0,837862;0,561548
2;0,000460;0,284183;0,525202;0,629534;0,722438;0,772986;0,782447;0,783424;0,784059;0,785457;0,823771;0,843080;0,689350
3;0,000276;0,288178;0,629255;0,737823;0,770078;0,780293;0,782389;0,783293;0,783992;0,784208;0,820518;0,843080;0,716003
4;0,000115;0,409821;0,694824;0,768438;0,777813;0,781990;0,782624;0,783157;0,783932;0,784415;0,829322;0,856713;0,739634
5;0,000138;0,362172;0,684045;0,762569;0,776103;0,781763;0,782518;0,782967;0,783810;0,785144;0,839621;0,856713;0,734071
6;0,003954;0,401472;0,716855;0,765949;0,775652;0,781789;0,782639;0,783121;0,783887;0,786349;0,832614;0,856713;0,741033
7;0,001149;0,417376;0,726374;0,768999;0,776875;0,781834;0,782603;0,783283;0,783903;0,787663;0,820960;0,856713;0,742987
8;0,000299;0,312603;0,711324;0,766482;0,776323;0,781785;0,782623;0,783275;0,783826;0,789968;0,816744;0,856713;0,730495
9;0,272253;0,553940;0,735498;0,770376;0,778603;0,782148;0,782967;0,783433;0,784215;0,792832;0,817291;0,856713;0,758130
10;0,001195;0,598192;0,751982;0,771877;0,780278;0,782326;0,783039;0,783359;0,783685;0,788337;0,823013;0,857862;0,764609
11;0,078000;0,651706;0,754159;0,771853;0,779291;0,782220;0,783003;0,783408;0,783853;0,790653;0,820031;0,857862;0,770018
12;0,551287;0,710726;0,767103;0,780621;0,782315;0,782783;0,783184;0,783563;0,783893;0,789439;0,824590;0,859885;0,778822
13;0,054230;0,607421;0,770076;0,782057;0,782879;0,783186;0,783472;0,783707;0,784083;0,795186;0,840391;0,859885;0,771246
14;0,015586;0,531222;0,777099;0,782675;0,783036;0,783298;0,783571;0,783805;0,784206;0,793286;0,829543;0,859885;0,763174
15;0,001425;0,567955;0,777756;0,782510;0,783003;0,783345;0,783715;0,783899;0,785368;0,796611;0,835255;0,859885;0,767942
16;0,000713;0,640871;0,778795;0,782610;0,783067;0,783441;0,783767;0,783961;0,789937;0,806302;0,845385;0,859885;0,777814
17;0,153678;0,537067;0,779400;0,782607;0,783053;0,783380;0,783634;0,783882;0,786415;0,800857;0,841238;0,859885;0,766153
18;0,134805;0,612124;0,780307;0,782795;0,783211;0,783434;0,783706;0,783936;0,789421;0,811974;0,850571;0,860391;0,776148
19;0,155195;0,494330;0,777834;0,782637;0,783083;0,783371;0,783669;0,783928;0,784708;0,808336;0,850733;0,861034;0,763263
20;0,034736;0,417051;0,777149;0,782641;0,783160;0,783472;0,783844;0,783986;0,788676;0,819902;0,855492;0,866437;0,757537
21;0,155563;0,613526;0,780166;0,782868;0,783278;0,783626;0,783894;0,783993;0,786882;0,817169;0,854634;0,866437;0,777004
22;0,066092;0,450764;0,781066;0,782757;0,783132;0,783518;0,783823;0,783967;0,791731;0,826274;0,851215;0,866437;0,761825
23;0,155241;0,448509;0,781084;0,782841;0,783306;0,783599;0,783809;0,783954;0,797232;0,830093;0,854983;0,866437;0,762941
24;0,155264;0,216769;0,758686;0,782823;0,783205;0,783569;0,783844;0,785816;0,801520;0,827709;0,857663;0,866437;0,738160
25;0,155287;0,517079;0,782546;0,783025;0,783417;0,783841;0,784111;0,792751;0,807251;0,831644;0,860043;0,866851;0,772571
26;0,004000;0,562244;0,782614;0,783101;0,783534;0,783838;0,784021;0,788146;0,797751;0,819978;0,853956;0,866851;0,773918
27;0,155126;0,539170;0,782460;0,783025;0,783414;0,783780;0,783947;0,785106;0,793972;0,811741;0,849775;0,866851;0,769639
28;0,155241;0,501314;0,781225;0,782903;0,783179;0,783587;0,783891;0,784126;0,790710;0,805279;0,844472;0,866851;0,764069
29;0,155264;0,540303;0,776660;0,782418;0,783033;0,783343;0,783740;0,783949;0,789766;0,807023;0,852334;0,867494;0,768257
30;0,155264;0,623485;0,780205;0,782825;0,783113;0,783463;0,783801;0,784326;0,795528;0,813669;0,854344;0,867494;0,778476
