Generation;Worst;0-10%;10-20%;20-30%;30-40%;40-50%;50-60%;60-70%;70-80%;80-90%;90-100%;Najboljši;Povprečje
0;0,000000;0,000205;0,000670;0,001534;0,004390;0,021833;0,053266;0,115457;0,158947;0,369469;0,759523;0,818736;0,148529
1;0,000000;0,000000;0,000000;0,000108;0,076540;0,165118;0,393999;0,657032;0,768932;0,782983;0,805868;0,852253;0,365058
2;0,000000;0,000000;0,000000;0,042968;0,266198;0,576989;0,738963;0,774797;0,782746;0,785195;0,815462;0,852253;0,478332
3;0,000000;0,000000;0,000000;0,018282;0,321223;0,667378;0,761003;0,780469;0,783044;0,788659;0,825084;0,852253;0,494514
4;0,000000;0,000000;0,000009;0,090087;0,569666;0,734769;0,771530;0,782013;0,783303;0,792477;0,835321;0,858161;0,535917
5;0,000000;0,000000;0,000000;0,115613;0,614237;0,745148;0,776590;0,782326;0,783639;0,801069;0,834867;0,858161;0,545349
6;0,000000;0,000000;0,000000;0,155654;0,664787;0,760244;0,779075;0,782593;0,784544;0,807711;0,839805;0,859149;0,557441
7;0,000000;0,000000;0,000000;0,251946;0,716278;0,771728;0,781451;0,782834;0,785130;0,807805;0,840370;0,859149;0,573754
8;0,000000;0,000000;0,001152;0,432279;0,741178;0,777132;0,781891;0,782979;0,790367;0,821556;0,848847;0,865402;0,597738
9;0,000000;0,000000;0,015466;0,481655;0,753595;0,780210;0,782297;0,783417;0,791444;0,817356;0,845209;0,865402;0,605065
10;0,000000;0,000000;0,142336;0,744575;0,779732;0,782261;0,783606;0,792514;0,817808;0,830314;0,857270;0,865402;0,653041
11;0,000000;0,000000;0,004503;0,635141;0,776739;0,782161;0,784193;0,803259;0,819297;0,831589;0,856955;0,865402;0,629384
12;0,000000;0,000000;0,232280;0,762959;0,780283;0,783109;0,785761;0,805864;0,822370;0,835578;0,858800;0,865402;0,666700
13;0,000000;0,000000;0,508636;0,775108;0,781966;0,784017;0,794356;0,814391;0,824715;0,836066;0,859892;0,865402;0,697915
14;0,000000;0,000000;0,269823;0,772480;0,781664;0,783653;0,793849;0,811009;0,821862;0,834156;0,858922;0,865402;0,672742
15;0,000000;0,000000;0,582031;0,780491;0,782486;0,784649;0,797462;0,814083;0,824474;0,835598;0,857726;0,865402;0,705900
16;0,000000;0,000036;0,609094;0,780793;0,782783;0,784952;0,800637;0,816029;0,824570;0,835126;0,855800;0,865402;0,708982
17;0,000000;0,000000;0,523569;0,781755;0,783108;0,785280;0,797930;0,811702;0,820754;0,835422;0,854645;0,865402;0,699417
18;0,000000;0,000000;0,445562;0,781444;0,783440;0,789492;0,801520;0,813464;0,824355;0,836328;0,852859;0,865402;0,692846
19;0,000000;0,000000;0,471284;0,776391;0,783226;0,786575;0,798482;0,808826;0,824955;0,838285;0,855431;0,865402;0,694346
20;0,000000;0,000000;0,437751;0,781386;0,783474;0,787438;0,799260;0,809830;0,828860;0,838224;0,853517;0,865402;0,691974
21;0,000000;0,181977;0,767320;0,783137;0,785452;0,796557;0,802231;0,816645;0,834329;0,839138;0,856575;0,865402;0,746336
22;0,000000;0,000000;0,620298;0,782492;0,785334;0,797430;0,805228;0,820902;0,837854;0,846684;0,860332;0,868713;0,715655
23;0,000000;0,000000;0,618223;0,782347;0,784970;0,798554;0,808544;0,823413;0,836722;0,844143;0,857972;0,868713;0,715489
24;0,000000;0,003911;0,771632;0,783449;0,791662;0,801687;0,808955;0,819764;0,832230;0,841676;0,857586;0,868713;0,731255
25;0,000000;0,256830;0,776303;0,784599;0,797455;0,803643;0,811522;0,824928;0,835706;0,843489;0,857760;0,868713;0,759223
26;0,000000;0,000000;0,717113;0,783509;0,797089;0,803171;0,813963;0,827645;0,836202;0,844315;0,859069;0,868713;0,728208
27;0,000000;0,037577;0,768379;0,786911;0,799522;0,809567;0,825633;0,833343;0,837986;0,848840;0,860284;0,870575;0,740804
28;0,000000;0,000000;0,543787;0,782855;0,793601;0,806654;0,823945;0,832700;0,837951;0,846379;0,859291;0,870575;0,712716
29;0,000000;0,000000;0,563078;0,781437;0,787548;0,806622;0,823549;0,833986;0,839430;0,847108;0,859339;0,870575;0,714210
30;0,000000;0,150068;0,779074;0,784891;0,797562;0,816707;0,828761;0,836614;0,842146;0,851706;0,859249;0,870575;0,754678
31;0,000000;0,386576;0,782653;0,790539;0,806224;0,820351;0,830890;0,838190;0,842263;0,850060;0,859340;0,870575;0,780709
32;0,000000;0,074960;0,781844;0,798021;0,809886;0,825545;0,834039;0,839632;0,842902;0,850715;0,858959;0,870575;0,751650
33;0,000000;0,384037;0,791547;0,805576;0,815951;0,827953;0,836155;0,840054;0,842720;0,848671;0,860061;0,870575;0,785272
34;0,000000;0,392055;0,797622;0,810475;0,823689;0,832234;0,837699;0,841348;0,843829;0,853976;0,862102;0,872460;0,789503
35;0,000000;0,507701;0,802006;0,811011;0,822383;0,831415;0,836574;0,839648;0,843479;0,853620;0,864194;0,901034;0,801203
36;0,000000;0,430915;0,798393;0,808180;0,821269;0,833102;0,836939;0,838969;0,841437;0,849718;0,861689;0,901034;0,792061
37;0,000000;0,235134;0,799057;0,807659;0,823087;0,833326;0,837022;0,838540;0,841299;0,849085;0,862009;0,901034;0,772622
38;0,000000;0,397089;0,803147;0,823855;0,834034;0,836594;0,837905;0,839887;0,843153;0,850274;0,864244;0,901034;0,793018
39;0,000000;0,591301;0,804761;0,823397;0,833948;0,836647;0,838009;0,839475;0,844061;0,854495;0,864333;0,901034;0,813043
40;0,000000;0,352847;0,799306;0,805702;0,821624;0,833874;0,837472;0,839205;0,842547;0,852178;0,868717;0,910667;0,785347
41;0,000000;0,471803;0,799986;0,807494;0,825678;0,834722;0,837670;0,839452;0,841860;0,852274;0,870632;0,910667;0,798157
42;0,000000;0,434603;0,798013;0,808370;0,826263;0,835736;0,837930;0,839876;0,844363;0,853395;0,868666;0,910667;0,794721
43;0,000000;0,571998;0,798464;0,809400;0,828090;0,836568;0,838446;0,839859;0,844153;0,854384;0,870277;0,910667;0,809164
44;0,000000;0,472360;0,798997;0,809590;0,828321;0,836541;0,838244;0,840437;0,846456;0,855692;0,869166;0,910667;0,799580
45;0,000000;0,394267;0,799659;0,811528;0,828364;0,837010;0,839471;0,843061;0,853037;0,857375;0,871710;0,913149;0,793548
46;0,000000;0,498772;0,806680;0,821453;0,834200;0,838411;0,840295;0,844048;0,853392;0,857455;0,868254;0,913149;0,806296
47;0,000000;0,359770;0,798817;0,813652;0,830841;0,838109;0,839824;0,844928;0,853769;0,857136;0,869406;0,913149;0,790625
48;0,000000;0,426186;0,798029;0,817438;0,833893;0,838787;0,840052;0,843924;0,852970;0,857126;0,871669;0,913149;0,798007
49;0,000000;0,606320;0,801045;0,817747;0,835370;0,838702;0,840215;0,844068;0,853224;0,857038;0,872755;0,913149;0,816648
50;0,000000;0,706590;0,799184;0,816489;0,832634;0,837428;0,839191;0,840463;0,844500;0,854932;0,865008;0,913149;0,823642
51;0,000000;0,666078;0,803622;0,821505;0,833808;0,837201;0,838847;0,840363;0,844016;0,854799;0,863856;0,913149;0,820410
52;0,000000;0,624676;0,801832;0,817013;0,830462;0,836576;0,839064;0,840801;0,846431;0,855979;0,868141;0,913149;0,816098
53;0,000000;0,753500;0,811310;0,827839;0,832698;0,837351;0,839363;0,843233;0,853600;0,857184;0,869968;0,913149;0,832605
54;0,000000;0,589886;0,807683;0,827072;0,832052;0,837338;0,839343;0,841686;0,851994;0,857369;0,868866;0,913149;0,815329
55;0,000000;0,713190;0,814200;0,828524;0,834051;0,838249;0,839662;0,841552;0,849036;0,857177;0,869074;0,913149;0,828471
56;0,000000;0,432433;0,800536;0,818108;0,829064;0,834067;0,838679;0,840351;0,844262;0,855845;0,866437;0,913149;0,795978
57;0,000000;0,440880;0,805029;0,826677;0,833057;0,838044;0,839290;0,840875;0,850447;0,856990;0,872766;0,913149;0,800405
58;0,000000;0,475649;0,810799;0,829383;0,836854;0,838862;0,840579;0,841960;0,852510;0,857069;0,875716;0,913149;0,805938
59;0,000000;0,450452;0,809325;0,830384;0,837492;0,839234;0,840679;0,843124;0,853657;0,857441;0,877061;0,913149;0,803885
60;0,000000;0,550625;0,807321;0,826502;0,836984;0,839015;0,840444;0,844090;0,854678;0,857259;0,872554;0,913149;0,812947
61;0,000000;0,594513;0,810199;0,828518;0,836815;0,838976;0,840509;0,845748;0,855003;0,857002;0,871451;0,913816;0,817873
62;0,000000;0,646748;0,816963;0,832310;0,838113;0,839737;0,840843;0,847636;0,854805;0,857094;0,868811;0,913816;0,824306
63;0,000000;0,679723;0,821176;0,831572;0,838372;0,839947;0,843771;0,854478;0,856293;0,857813;0,870567;0,913816;0,829371
64;0,000000;0,595394;0,815851;0,831654;0,838959;0,840372;0,843431;0,853610;0,855884;0,857063;0,868099;0,913816;0,820032
65;0,000000;0,631267;0,814875;0,830491;0,837954;0,840308;0,845949;0,853990;0,856137;0,857632;0,873736;0,913816;0,824234
66;0,000000;0,629720;0,815037;0,834882;0,839878;0,840926;0,848922;0,855352;0,856444;0,857966;0,875370;0,913816;0,825450
67;0,000000;0,528121;0,811868;0,835283;0,839546;0,840664;0,845013;0,854667;0,856416;0,857866;0,872749;0,914851;0,814219
68;0,000000;0,556479;0,802351;0,827794;0,838753;0,840386;0,847408;0,855549;0,856922;0,858043;0,872236;0,914851;0,815592
69;0,000000;0,606994;0,814330;0,837576;0,839684;0,842179;0,851561;0,855986;0,857287;0,858168;0,876152;0,914851;0,823992
70;0,000000;0,622336;0,806813;0,832995;0,839469;0,841854;0,853305;0,856341;0,857386;0,858309;0,876797;0,914851;0,824560
71;0,000000;0,649143;0,807075;0,827794;0,839578;0,843898;0,854918;0,856390;0,857406;0,858162;0,872376;0,914851;0,826674
72;0,000000;0,454754;0,808010;0,830280;0,839764;0,841231;0,852700;0,856129;0,857231;0,858089;0,871460;0,914851;0,806965
73;0,000000;0,670849;0,814507;0,829538;0,839469;0,840949;0,851189;0,856179;0,857313;0,858240;0,871411;0,914851;0,828964
74;0,000000;0,712970;0,813629;0,828777;0,839160;0,841484;0,853336;0,856259;0,857387;0,858511;0,875361;0,914851;0,833687
75;0,000000;0,587408;0,806562;0,826033;0,839685;0,847511;0,855640;0,856868;0,857801;0,858643;0,873449;0,914851;0,820960
76;0,000000;0,666033;0,802700;0,824330;0,839666;0,849817;0,855902;0,857111;0,857809;0,858746;0,875455;0,914851;0,828757
77;0,000000;0,469674;0,798594;0,817046;0,834751;0,840946;0,853884;0,856720;0,858089;0,860011;0,881820;0,914851;0,807153
78;0,000000;0,549275;0,805351;0,826083;0,839503;0,847516;0,856237;0,857675;0,858739;0,862821;0,887324;0,915034;0,819052
79;0,000000;0,431752;0,805047;0,826671;0,839533;0,845636;0,855814;0,857559;0,858779;0,864463;0,882774;0,915034;0,806803
80;0,000000;0,357998;0,797489;0,811995;0,828344;0,840253;0,853053;0,857089;0,858215;0,861649;0,886771;0,916621;0,795286
81;0,000000;0,573805;0,796316;0,808256;0,821923;0,837662;0,849643;0,856913;0,858425;0,865524;0,895338;0,916621;0,816380
82;0,000000;0,531231;0,798892;0,812093;0,831133;0,845064;0,856466;0,857941;0,861315;0,872333;0,901278;0,916621;0,816775
83;0,000000;0,508203;0,802669;0,817299;0,837559;0,849202;0,857344;0,860072;0,867675;0,875986;0,907045;0,917149;0,818305
84;0,000000;0,670598;0,803601;0,826768;0,847599;0,856836;0,858453;0,860345;0,867998;0,876182;0,904644;0,917149;0,837302
85;0,000000;0,501639;0,803374;0,825736;0,842415;0,856316;0,858953;0,863094;0,871974;0,877587;0,906677;0,917149;0,820776
86;0,000000;0,580180;0,803914;0,832257;0,846251;0,857314;0,859857;0,864998;0,872432;0,879972;0,908080;0,917149;0,830526
87;0,000000;0,509597;0,800709;0,823738;0,842211;0,856329;0,858311;0,862876;0,872330;0,878444;0,911176;0,917149;0,821572
88;0,000000;0,592959;0,815211;0,838976;0,849926;0,857560;0,859855;0,867838;0,874231;0,891218;0,916103;0,917218;0,836388
89;0,000000;0,638853;0,801906;0,832370;0,852799;0,857653;0,859436;0,866485;0,873516;0,884284;0,914699;0,917586;0,838200
90;0,000000;0,638418;0,794609;0,824825;0,849189;0,857657;0,859434;0,864998;0,873144;0,887039;0,916560;0,917793;0,836587
91;0,000000;0,607466;0,795185;0,816107;0,849355;0,857476;0,859597;0,867657;0,873353;0,888326;0,916672;0,917793;0,833119
92;0,000000;0,667614;0,792906;0,809516;0,836853;0,856755;0,859846;0,871845;0,874825;0,897718;0,916831;0,918230;0,838471
93;0,000000;0,664059;0,794793;0,812876;0,836786;0,856605;0,858452;0,865401;0,873132;0,878672;0,910828;0,918230;0,835160
94;0,000000;0,704791;0,795800;0,810762;0,827221;0,854947;0,858815;0,868521;0,873478;0,888110;0,916503;0,918230;0,839895
95;0,000000;0,552049;0,788462;0,802433;0,819692;0,841289;0,857405;0,861174;0,872393;0,880295;0,913697;0,918230;0,818889
96;0,000000;0,623938;0,789923;0,800822;0,813862;0,835486;0,857232;0,859394;0,866887;0,885569;0,915755;0,918230;0,824887
97;0,000000;0,624277;0,792344;0,805109;0,820202;0,851601;0,858746;0,861578;0,872752;0,882846;0,915697;0,918230;0,828515
98;0,000000;0,426914;0,792046;0,805468;0,823508;0,850063;0,858857;0,865187;0,873883;0,895745;0,915987;0,918230;0,810766
99;0,000000;0,420530;0,787833;0,799890;0,815982;0,835644;0,857893;0,860126;0,870498;0,885917;0,915860;0,918230;0,805017
100;0,000000;0,552210;0,787584;0,797810;0,810393;0,826261;0,851139;0,858783;0,863548;0,873284;0,906290;0,918230;0,812730
101;0,747701;0,782055;0,794461;0,801398;0,820466;0,844184;0,858518;0,862676;0,873087;0,884468;0,915908;0,918230;0,843722
102;0,000000;0,622383;0,794445;0,806989;0,826466;0,853138;0,859432;0,865140;0,873048;0,883697;0,916357;0,918230;0,830109
103;0,000000;0,575279;0,797640;0,812878;0,829995;0,856924;0,859415;0,867287;0,873397;0,888900;0,916336;0,918230;0,827805
104;0,000000;0,638595;0,794610;0,816937;0,830099;0,856438;0,858662;0,865234;0,873733;0,887493;0,916229;0,918230;0,833803
105;0,000000;0,620754;0,791306;0,810139;0,824057;0,841586;0,857718;0,860194;0,871683;0,881209;0,916244;0,918230;0,827489
