Generation;Worst;0-10%;10-20%;20-30%;30-40%;40-50%;50-60%;60-70%;70-80%;80-90%;90-100%;Najboljši;Povprečje
0;0,001000;0,001000;0,001000;0,002000;0,005040;0,023366;0,048739;0,078660;0,150914;0,448158;0,755168;0,820802;0,151404
1;0,001000;0,001000;0,002970;0,060729;0,148556;0,335960;0,555740;0,702549;0,774079;0,782459;0,795486;0,824132;0,415953
2;0,001000;0,001000;0,022544;0,225053;0,535835;0,686677;0,754218;0,780585;0,782318;0,783243;0,803665;0,824132;0,537514
3;0,001000;0,001000;0,030911;0,418908;0,662546;0,755601;0,779631;0,781826;0,782813;0,783338;0,804832;0,834719;0,580141
4;0,001000;0,001000;0,054370;0,553332;0,737418;0,777575;0,781622;0,782353;0,783069;0,783923;0,813415;0,834719;0,606808
5;0,001000;0,001000;0,189210;0,694696;0,768277;0,780892;0,781869;0,782440;0,783052;0,785024;0,815663;0,837427;0,638212
6;0,001000;0,001004;0,436841;0,730869;0,775067;0,781426;0,782027;0,782570;0,783125;0,786942;0,817414;0,837427;0,667728
7;0,001000;0,001000;0,090389;0,661249;0,768274;0,781271;0,781905;0,782461;0,783066;0,785566;0,814687;0,837427;0,624987
8;0,001000;0,001000;0,371722;0,755636;0,780097;0,781715;0,782212;0,782620;0,783067;0,788131;0,819237;0,842175;0,664544
9;0,001000;0,027590;0,682540;0,776947;0,781333;0,781861;0,782301;0,782718;0,783083;0,786567;0,817858;0,842175;0,700280
10;0,001000;0,038196;0,659264;0,778389;0,781548;0,781931;0,782422;0,782855;0,783144;0,786754;0,814001;0,842175;0,698850
11;0,001000;0,007366;0,540140;0,767731;0,780680;0,781636;0,782145;0,782679;0,783003;0,783482;0,807797;0,842175;0,681666
12;0,001000;0,004876;0,650532;0,765401;0,779974;0,781369;0,781856;0,782386;0,782888;0,783268;0,806181;0,842175;0,691873
13;0,001000;0,033358;0,696081;0,777454;0,781105;0,781654;0,782052;0,782549;0,782861;0,783129;0,799209;0,842175;0,699945
14;0,001000;0,087605;0,719235;0,779496;0,781316;0,781856;0,782289;0,782710;0,782985;0,783309;0,798257;0,842175;0,707906
15;0,001000;0,033577;0,732085;0,778484;0,781061;0,781691;0,782148;0,782645;0,782978;0,783345;0,801741;0,842175;0,703976
