Generation;Worst;0-10%;10-20%;20-30%;30-40%;40-50%;50-60%;60-70%;70-80%;80-90%;90-100%;Najboljši;Povprečje
0;-0,413370;-0,220702;-0,078235;-0,022550;-0,006501;-0,001301;0,001815;0,008715;0,037070;0,089745;0,233194;0,459766;0,004125
1;-0,413682;-0,198895;-0,060748;-0,022903;-0,006803;-0,001275;0,002146;0,012814;0,047566;0,118001;0,271641;0,459766;0,016154
2;-0,267117;-0,141830;-0,042649;-0,014497;-0,003638;-0,000427;0,004393;0,027379;0,071894;0,175394;0,328815;0,459766;0,040483
3;-0,267117;-0,094065;-0,020095;-0,006215;-0,001112;0,001466;0,006307;0,034370;0,088593;0,176923;0,343428;0,462220;0,052960
4;-0,291337;-0,078310;-0,018215;-0,004073;-0,000144;0,003326;0,029720;0,071394;0,121485;0,219346;0,392105;0,502156;0,073663
5;-0,255675;-0,104209;-0,019110;-0,005563;-0,001026;0,001673;0,018355;0,068796;0,132618;0,217020;0,388298;0,508513;0,069685
6;-0,110002;-0,052957;-0,007634;-0,001771;0,001454;0,025617;0,073858;0,119788;0,198359;0,301989;0,454496;0,521045;0,111320
7;-0,237485;-0,088102;-0,006230;-0,001004;0,005391;0,040357;0,090350;0,153720;0,216602;0,297271;0,434020;0,521045;0,114238
8;-0,275681;-0,078811;-0,005994;-0,000070;0,012970;0,051289;0,116390;0,175923;0,253179;0,331198;0,459813;0,521045;0,131589
9;-0,237485;-0,089747;-0,004759;0,003518;0,036924;0,079867;0,146390;0,221822;0,294210;0,359769;0,478334;0,521045;0,152633
10;-0,186489;-0,032378;-0,001863;0,012600;0,050563;0,104723;0,150004;0,205937;0,281596;0,376746;0,478186;0,532086;0,162611
11;-0,180021;-0,054556;-0,003119;0,017623;0,069911;0,132282;0,182958;0,254387;0,317189;0,418330;0,503626;0,539672;0,183863
12;-0,136812;-0,030936;0,003564;0,045813;0,105050;0,156798;0,200043;0,275137;0,330449;0,410832;0,497498;0,542830;0,199425
13;-0,136358;-0,046409;0,001830;0,041994;0,106281;0,155935;0,198683;0,272540;0,333149;0,406788;0,492096;0,550768;0,196289
14;-0,302700;-0,067848;-0,005613;0,053623;0,133185;0,174929;0,245663;0,321561;0,383047;0,429463;0,512076;0,551298;0,218009
15;-0,302700;-0,059662;0,030799;0,120703;0,156725;0,187902;0,255915;0,322566;0,396478;0,432745;0,503892;0,583058;0,234806
16;-0,252593;-0,063285;0,008490;0,097439;0,151493;0,197491;0,256689;0,328630;0,405542;0,454133;0,522365;0,585476;0,235899
17;-0,295322;-0,033728;0,046023;0,133794;0,177819;0,239751;0,308422;0,371455;0,416682;0,457574;0,541633;0,619635;0,265942
18;-0,316692;-0,069812;0,043691;0,141070;0,199647;0,290276;0,356794;0,399817;0,435031;0,478481;0,550157;0,619635;0,282515
19;-0,313729;-0,020602;0,107056;0,176765;0,266344;0,329474;0,387891;0,424184;0,465723;0,503960;0,565814;0,619635;0,320661
20;-0,251398;0,029490;0,140680;0,217606;0,310229;0,367707;0,402212;0,426130;0,454262;0,491318;0,550999;0,619635;0,339063
21;-0,152111;-0,005524;0,127866;0,217436;0,301040;0,369094;0,401586;0,421896;0,447445;0,484755;0,541001;0,619635;0,330660
22;-0,152111;0,007643;0,128991;0,198893;0,285688;0,351301;0,399835;0,423919;0,444257;0,480368;0,533673;0,619635;0,325457
23;-0,066443;-0,001050;0,080220;0,148120;0,214395;0,284970;0,338319;0,398988;0,432191;0,469347;0,533683;0,619635;0,289918
24;-0,066948;-0,002789;0,125775;0,207695;0,259993;0,311073;0,374331;0,410112;0,429428;0,468527;0,537637;0,669843;0,312178
25;-0,099864;-0,002386;0,140491;0,225490;0,296798;0,338951;0,376912;0,406947;0,430306;0,472041;0,558852;0,669843;0,324440
26;-0,026532;0,045211;0,151637;0,246032;0,309851;0,354210;0,377837;0,406822;0,433988;0,474319;0,551271;0,669843;0,335118
27;-0,032603;0,028153;0,146404;0,240506;0,307874;0,352489;0,388432;0,407784;0,435428;0,480669;0,559260;0,669843;0,334700
28;-0,161327;0,017152;0,124258;0,203488;0,282261;0,349591;0,396294;0,415578;0,440683;0,480600;0,568577;0,669843;0,327848
29;-0,171501;0,018078;0,137204;0,205928;0,280178;0,338977;0,390696;0,416766;0,440087;0,474012;0,567502;0,669843;0,326943
30;-0,171501;0,020735;0,154698;0,212472;0,277849;0,352907;0,401603;0,428830;0,452913;0,488628;0,576072;0,701622;0,336671
31;-0,177962;0,001426;0,155628;0,231078;0,296298;0,353238;0,396252;0,431141;0,462426;0,501591;0,604024;0,701622;0,343310
32;-0,039820;0,050729;0,162875;0,227624;0,292537;0,341982;0,387674;0,418593;0,456405;0,499553;0,592401;0,701622;0,343037
33;-0,112655;0,053903;0,166598;0,206753;0,273570;0,328066;0,380195;0,412658;0,447601;0,493779;0,591915;0,701622;0,335504
34;-0,186079;0,048095;0,165238;0,234519;0,301126;0,367416;0,405246;0,428028;0,462710;0,501786;0,593382;0,706843;0,350755
35;-0,186079;0,072147;0,202584;0,277557;0,337411;0,389158;0,415797;0,440061;0,470792;0,510856;0,596163;0,706843;0,371253
36;-0,112655;0,112010;0,204444;0,296904;0,353659;0,396155;0,421882;0,439433;0,477094;0,519596;0,628486;0,706843;0,384966
37;-0,000341;0,103968;0,199684;0,279864;0,354061;0,408672;0,428787;0,453151;0,496081;0,540408;0,652124;0,706843;0,391680
38;0,030465;0,128999;0,237096;0,316811;0,389785;0,424278;0,442719;0,466746;0,494425;0,536595;0,635913;0,706843;0,407337
39;-0,024849;0,153764;0,281788;0,347303;0,397423;0,422610;0,445116;0,477495;0,506605;0,551536;0,637347;0,713605;0,422099
40;0,008105;0,115596;0,283045;0,373677;0,411914;0,431496;0,463395;0,491710;0,518325;0,575633;0,651828;0,720668;0,431662
41;0,023949;0,182333;0,318285;0,389398;0,423999;0,438874;0,460425;0,487882;0,512757;0,571568;0,669083;0,720668;0,445460
42;0,076533;0,203687;0,324397;0,408717;0,427950;0,441115;0,467022;0,489826;0,512551;0,575166;0,662974;0,720668;0,451341
43;0,052397;0,229366;0,387422;0,423471;0,438658;0,457442;0,478222;0,494206;0,521129;0,581068;0,668353;0,720668;0,467934
44;0,011596;0,196041;0,368809;0,418245;0,435156;0,458483;0,483865;0,495392;0,513539;0,583614;0,667004;0,722181;0,462015
45;0,093596;0,194543;0,329363;0,413499;0,430902;0,452959;0,480395;0,494555;0,514459;0,589664;0,673346;0,722181;0,457369
46;0,056470;0,180845;0,333501;0,418569;0,438108;0,465433;0,488592;0,497525;0,530420;0,602524;0,671402;0,723217;0,462692
47;-0,076346;0,165699;0,364668;0,424726;0,461843;0,490138;0,500508;0,531218;0,585720;0,617081;0,671754;0,723217;0,481335
48;-0,076346;0,173850;0,373307;0,440902;0,479894;0,493018;0,506759;0,552790;0,592419;0,624656;0,671098;0,723217;0,490869
49;0,184814;0,316593;0,421497;0,462542;0,486883;0,498863;0,532443;0,570647;0,599841;0,621711;0,669512;0,745113;0,518053
