Generation;Worst;0-10%;10-20%;20-30%;30-40%;40-50%;50-60%;60-70%;70-80%;80-90%;90-100%;Best;Average
0;-1,000000;-0,653669;-0,159435;-0,028968;-0,006609;-0,001390;0,001636;0,009464;0,035002;0,103855;0,271600;0,390273;-0,042851
1;-0,398120;-0,263575;-0,089280;-0,017166;-0,005650;-0,001277;0,002114;0,012839;0,040657;0,121146;0,342524;0,390273;0,014233
2;-1,000000;-0,223069;-0,041659;-0,012735;-0,003259;0,002122;0,013245;0,042231;0,100722;0,243710;0,384490;0,400601;0,050580
3;-0,307404;-0,122818;-0,037641;-0,010416;0,000139;0,008878;0,032619;0,065525;0,138820;0,284162;0,398752;0,543584;0,075802
4;-0,307404;-0,091083;-0,025949;-0,002625;0,003452;0,015213;0,044042;0,076828;0,129013;0,229989;0,413631;0,543584;0,079251
5;-0,164079;-0,051533;-0,005777;0,000953;0,010714;0,035230;0,061854;0,090547;0,147490;0,279401;0,440243;0,543584;0,100912
6;-0,242409;-0,050627;-0,002265;0,002295;0,017971;0,050351;0,075702;0,109419;0,166363;0,308362;0,483726;0,545390;0,116130
7;-0,292361;-0,111525;-0,003966;0,001843;0,013293;0,042989;0,069634;0,111706;0,199700;0,360587;0,520061;0,545390;0,120432
8;-0,242409;-0,089680;-0,002288;0,002768;0,014419;0,041666;0,074282;0,118555;0,218819;0,390601;0,523963;0,551527;0,129310
9;-0,252995;-0,088479;-0,002944;0,003261;0,016466;0,053645;0,087112;0,147123;0,265472;0,433749;0,531809;0,551527;0,144721
10;-0,252995;-0,098112;-0,002976;0,001759;0,019062;0,063456;0,102307;0,162220;0,300797;0,459908;0,540669;0,552193;0,154909
11;-0,265569;-0,156462;-0,012493;0,003035;0,036045;0,084873;0,129997;0,226210;0,339529;0,459392;0,538588;0,552193;0,164872
12;-0,224190;-0,127619;-0,026292;-0,000987;0,023317;0,088103;0,147798;0,267268;0,373490;0,487527;0,545722;0,558094;0,177833
13;-0,267067;-0,120158;-0,015744;0,005245;0,059191;0,133278;0,199241;0,316939;0,394714;0,482431;0,544129;0,558094;0,199927
14;-0,255734;-0,082607;-0,008933;0,027294;0,099469;0,152703;0,278411;0,373672;0,451878;0,498047;0,549971;0,563578;0,233991
15;-0,208043;-0,061852;0,012020;0,087378;0,163319;0,303124;0,386270;0,442535;0,481286;0,522995;0,553969;0,565144;0,289104
16;-0,220508;-0,071909;0,006569;0,087539;0,168615;0,300865;0,383374;0,449786;0,479677;0,506051;0,551777;0,571135;0,286234
17;-0,220508;-0,072964;0,015180;0,116594;0,208120;0,337396;0,418008;0,459554;0,482185;0,517301;0,556304;0,571135;0,303768
18;-0,164733;-0,052510;0,042875;0,159074;0,231703;0,338174;0,420049;0,453265;0,482466;0,508394;0,553425;0,571135;0,313692
19;-0,160399;-0,030662;0,100358;0,183913;0,274921;0,374543;0,435074;0,461750;0,485832;0,512319;0,555367;0,571135;0,335341
20;-0,160399;-0,024837;0,100960;0,194597;0,312418;0,402371;0,445633;0,472871;0,488024;0,517160;0,554766;0,571135;0,346396
21;-0,160399;-0,011059;0,111793;0,205503;0,356885;0,437351;0,458314;0,477166;0,489977;0,517283;0,554549;0,571135;0,359776
22;-0,125425;0,012717;0,125769;0,259267;0,391853;0,442884;0,461199;0,480683;0,504939;0,527307;0,555535;0,571135;0,376215
23;-0,167374;0,021607;0,163037;0,302109;0,413909;0,446600;0,465458;0,481599;0,501242;0,528178;0,558114;0,571143;0,388185
24;-0,224692;0,037484;0,175740;0,310065;0,413392;0,445744;0,467467;0,479590;0,499549;0,528116;0,558481;0,573833;0,391563
25;-0,224692;0,028981;0,169543;0,339310;0,433123;0,454198;0,473639;0,482482;0,498485;0,528869;0,560200;0,573833;0,396883
26;-0,119693;0,055302;0,276850;0,406755;0,440200;0,453982;0,469769;0,477726;0,490231;0,520074;0,564090;0,632158;0,415498
27;-0,024151;0,083638;0,315696;0,408038;0,439536;0,456810;0,473959;0,480671;0,495431;0,526571;0,563046;0,632158;0,424340
28;-0,016460;0,065147;0,233633;0,373453;0,433385;0,453276;0,470274;0,479647;0,495599;0,513942;0,557928;0,632158;0,407628
29;-0,017173;0,033314;0,155367;0,376862;0,429233;0,455586;0,474433;0,485404;0,505056;0,520086;0,562990;0,632158;0,399833
30;-0,322760;0,023250;0,233156;0,386826;0,433848;0,458859;0,472048;0,481653;0,500293;0,525450;0,567262;0,632158;0,408265
31;-0,017173;0,063645;0,234043;0,374259;0,416454;0,452049;0,465619;0,476069;0,485552;0,507945;0,558274;0,632158;0,403391
32;-0,010133;0,050460;0,235623;0,362380;0,402331;0,446684;0,465829;0,474735;0,485410;0,511880;0,561769;0,632158;0,399710
33;0,032877;0,131769;0,291544;0,376808;0,403693;0,442049;0,462223;0,475367;0,485766;0,512346;0,563278;0,632158;0,414484
34;0,032877;0,100952;0,231578;0,348880;0,389098;0,410633;0,453208;0,468205;0,480478;0,495186;0,558903;0,632158;0,393712
35;0,026317;0,105070;0,274763;0,372779;0,396364;0,428547;0,454147;0,468064;0,481665;0,503768;0,562898;0,632158;0,404807
36;0,034672;0,186157;0,367779;0,396202;0,430688;0,457899;0,472172;0,481263;0,493816;0,518072;0,565516;0,632158;0,436956
37;0,030901;0,152153;0,355262;0,395738;0,429029;0,459204;0,476024;0,487403;0,498691;0,531320;0,567097;0,632158;0,435192
38;0,031205;0,181882;0,361633;0,398038;0,424647;0,459771;0,476548;0,487103;0,501719;0,534041;0,572962;0,632158;0,439834
39;0,065722;0,172088;0,339249;0,392550;0,413120;0,448621;0,472643;0,481632;0,490530;0,517657;0,570159;0,632158;0,429825
40;-0,028270;0,149216;0,287457;0,366353;0,402591;0,441944;0,469634;0,480119;0,488025;0,510237;0,562766;0,632158;0,415834
41;-0,028160;0,144830;0,279304;0,356222;0,396100;0,427775;0,462113;0,476189;0,484288;0,506065;0,560069;0,632158;0,409296
42;0,049925;0,132533;0,253895;0,319555;0,385383;0,418908;0,456583;0,476518;0,487596;0,512348;0,563051;0,632158;0,400637
43;-0,019060;0,129545;0,256728;0,318991;0,364055;0,401437;0,440776;0,469712;0,484628;0,508384;0,562492;0,632158;0,393675
44;-0,027811;0,081331;0,217054;0,289835;0,344981;0,395213;0,423865;0,459540;0,478056;0,501101;0,561988;0,632158;0,375296
45;-0,027811;0,040159;0,179392;0,263496;0,308029;0,375115;0,425522;0,463309;0,478670;0,497835;0,554502;0,632158;0,358603
46;-0,041837;0,030574;0,160009;0,252471;0,321472;0,394165;0,430090;0,463684;0,481476;0,510432;0,556712;0,632158;0,360108
47;-0,033388;0,085923;0,215221;0,288329;0,364038;0,414938;0,451072;0,473697;0,484428;0,510630;0,552260;0,632158;0,384054
48;0,002925;0,126703;0,230660;0,307440;0,379026;0,427218;0,457251;0,474314;0,486618;0,511930;0,560601;0,715014;0,396176
49;-0,004159;0,125619;0,222141;0,298177;0,360798;0,409431;0,455103;0,474364;0,486962;0,512358;0,571561;0,715014;0,391652
50;-0,075675;0,091558;0,201008;0,276330;0,332085;0,396453;0,445192;0,471236;0,486155;0,513788;0,568001;0,715014;0,378181
51;-0,050757;0,112747;0,243390;0,311010;0,363281;0,413421;0,457066;0,475624;0,487780;0,510426;0,581968;0,715014;0,395671
52;-0,139357;0,057942;0,205569;0,275823;0,328946;0,388157;0,429355;0,464841;0,482797;0,505917;0,598956;0,737039;0,373830
53;-0,112340;0,056508;0,165302;0,252303;0,308921;0,370014;0,421188;0,466118;0,483722;0,506344;0,614626;0,751513;0,364505
54;-0,183435;0,035029;0,149885;0,262479;0,343273;0,412968;0,460036;0,476677;0,486797;0,509521;0,613370;0,751513;0,375004
55;-0,033959;0,021357;0,113845;0,248345;0,352723;0,411147;0,461347;0,478510;0,488954;0,512161;0,659739;0,752768;0,374813
56;-0,205900;-0,010176;0,098992;0,183556;0,344211;0,417522;0,459768;0,476736;0,485778;0,501492;0,622836;0,752768;0,358072
57;-0,041628;0,034661;0,106074;0,272281;0,366422;0,435834;0,465618;0,479651;0,491259;0,523645;0,655722;0,752768;0,383117
58;-0,041628;0,053350;0,124780;0,286338;0,365228;0,413564;0,459289;0,475047;0,488030;0,512607;0,613012;0,752768;0,379125
59;-0,025070;0,070951;0,140300;0,291568;0,358324;0,410670;0,455829;0,471868;0,488186;0,516757;0,634698;0,752768;0,383915
60;-0,039673;0,052608;0,112553;0,220845;0,341426;0,400312;0,449976;0,470802;0,487037;0,514285;0,616998;0,752768;0,366684
61;-0,039673;0,077946;0,126766;0,254351;0,346904;0,404258;0,450735;0,472407;0,487944;0,516192;0,659132;0,753947;0,379664
62;-0,051495;0,064831;0,113296;0,215167;0,315601;0,383145;0,443973;0,466165;0,482055;0,506767;0,663804;0,753947;0,365480
63;-0,036559;0,054093;0,111412;0,147458;0,262106;0,370053;0,437358;0,475831;0,487762;0,520520;0,669824;0,753947;0,353642
64;-0,034247;0,049161;0,112366;0,155466;0,264138;0,381431;0,441244;0,477038;0,490706;0,537783;0,726038;0,753947;0,363537
65;0,028734;0,080615;0,112962;0,186624;0,305424;0,421588;0,464145;0,486829;0,519552;0,602974;0,743403;0,753947;0,392411
66;-0,236719;0,028408;0,106718;0,157385;0,342363;0,438860;0,476838;0,495104;0,536973;0,596681;0,746537;0,755367;0,392587
67;-0,241111;-0,023967;0,099541;0,163737;0,341272;0,449429;0,485807;0,508319;0,541300;0,596051;0,736791;0,755367;0,389828
68;-0,223068;0,038132;0,107267;0,222472;0,402627;0,471008;0,495401;0,529990;0,550358;0,635990;0,749193;0,755367;0,420244
69;-0,053278;0,058302;0,145484;0,352413;0,453015;0,480389;0,498319;0,520101;0,541627;0,610104;0,743791;0,755367;0,440355
70;0,017522;0,087842;0,178254;0,408485;0,467580;0,483537;0,503890;0,523457;0,547482;0,625841;0,735072;0,755367;0,456144
71;-0,004862;0,090250;0,347441;0,452552;0,474016;0,485934;0,510091;0,530518;0,564767;0,668867;0,738595;0,755367;0,486303
72;-0,055690;0,087415;0,371364;0,463640;0,478337;0,491637;0,514824;0,541161;0,590399;0,683422;0,741374;0,755380;0,496357
73;-0,000930;0,165393;0,414299;0,469157;0,483868;0,496150;0,514991;0,532795;0,556078;0,648099;0,734313;0,755380;0,501514
74;-0,000930;0,120712;0,369271;0,448740;0,473122;0,486286;0,507125;0,522438;0,544551;0,611970;0,724685;0,755380;0,480890
75;-0,024374;0,136877;0,381537;0,457802;0,478183;0,494063;0,516561;0,532550;0,556502;0,655080;0,738113;0,755380;0,494727
76;-0,004400;0,140387;0,335096;0,444550;0,475051;0,490421;0,510219;0,527435;0,553041;0,637835;0,743499;0,755380;0,485753
77;-0,200412;0,147625;0,401630;0,478590;0,497006;0,512478;0,528583;0,547345;0,560124;0,639897;0,735664;0,755380;0,504894
78;0,071518;0,205378;0,429314;0,479540;0,501795;0,512784;0,530513;0,548496;0,561946;0,676418;0,740928;0,755380;0,518711
79;0,055423;0,234648;0,409104;0,461078;0,486727;0,506778;0,527010;0,545735;0,559126;0,625139;0,733793;0,755380;0,508914
80;0,055423;0,304250;0,449801;0,480202;0,503427;0,516042;0,533475;0,550741;0,563325;0,650949;0,737093;0,755380;0,528930
81;0,055423;0,307386;0,465530;0,486871;0,504304;0,519109;0,532909;0,548757;0,562343;0,643559;0,739925;0,755380;0,531069
82;0,055423;0,256610;0,467157;0,490582;0,506121;0,520046;0,532879;0,547946;0,566957;0,654722;0,731085;0,755380;0,527410
83;0,103826;0,364905;0,478786;0,503267;0,517301;0,529344;0,542102;0,554405;0,582749;0,673530;0,734044;0,755380;0,548043
84;0,091112;0,328339;0,477152;0,498840;0,510977;0,525982;0,540098;0,552543;0,603243;0,685184;0,741849;0,755380;0,546421
85;0,103826;0,304247;0,478081;0,497911;0,511755;0,525026;0,538252;0,547489;0,579635;0,662620;0,737972;0,755380;0,538299
86;0,081010;0,228167;0,473195;0,493272;0,507953;0,524058;0,542790;0,553654;0,613105;0,702196;0,750815;0,755390;0,538921
87;0,074311;0,180989;0,396463;0,483420;0,501290;0,517364;0,539660;0,555231;0,616355;0,686756;0,750711;0,755390;0,522824
88;0,031167;0,160425;0,376192;0,480598;0,500237;0,517461;0,536686;0,558919;0,616652;0,703583;0,752461;0,755823;0,520321
89;0,050975;0,098428;0,300623;0,481771;0,499410;0,513913;0,532156;0,560584;0,639761;0,721736;0,751909;0,755823;0,510029
90;-0,063826;0,093447;0,328238;0,485973;0,500032;0,509989;0,523812;0,549427;0,613628;0,700810;0,749272;0,755823;0,505463
91;-0,063826;0,093965;0,317092;0,479921;0,497459;0,507448;0,526429;0,550802;0,619359;0,708816;0,749397;0,755823;0,505069
92;0,080136;0,138319;0,357619;0,486299;0,502254;0,517539;0,533627;0,557220;0,618994;0,710883;0,748478;0,755823;0,517123
93;0,048691;0,139485;0,369151;0,478945;0,498534;0,511705;0,525560;0,550787;0,625723;0,705647;0,746752;0,755823;0,515229
94;0,077986;0,125231;0,322252;0,462401;0,498251;0,511932;0,527962;0,564627;0,647311;0,707324;0,748814;0,755823;0,511611
95;0,078352;0,127088;0,372961;0,480380;0,503290;0,517938;0,530261;0,557522;0,653441;0,720504;0,751909;0,755823;0,521529
96;-0,003245;0,102481;0,329234;0,476198;0,509666;0,524593;0,541182;0,608769;0,673891;0,721441;0,751046;0,755823;0,523850
97;0,007697;0,255902;0,441416;0,483853;0,510644;0,525758;0,541356;0,614009;0,700087;0,730717;0,751073;0,755823;0,555482
98;0,007697;0,328969;0,468247;0,499348;0,517759;0,531392;0,548650;0,623734;0,692105;0,724050;0,750080;0,755823;0,568433
99;0,106838;0,367275;0,484380;0,511371;0,527548;0,543232;0,570436;0,642552;0,705298;0,726801;0,744672;0,755823;0,582357
100;-0,047802;0,370523;0,489874;0,515745;0,533471;0,556786;0,597753;0,670841;0,713806;0,731130;0,749415;0,755823;0,592934
101;-0,047802;0,330461;0,474862;0,507120;0,521296;0,545493;0,578107;0,668208;0,714776;0,732619;0,752721;0,756145;0,582566
102;-0,041587;0,359446;0,489972;0,514285;0,531376;0,555055;0,621411;0,692400;0,724872;0,738819;0,754442;0,756145;0,598208
103;0,182284;0,346566;0,485878;0,517430;0,535137;0,556458;0,650544;0,702878;0,725958;0,737823;0,754343;0,756145;0,601302
104;0,182284;0,334270;0,485874;0,518501;0,532199;0,555105;0,652604;0,697201;0,717961;0,732005;0,749208;0,756145;0,597493
105;0,240352;0,425776;0,514696;0,528490;0,544022;0,588719;0,672292;0,698874;0,720243;0,731465;0,751117;0,756145;0,617569
106;0,176160;0,393421;0,516052;0,532398;0,544939;0,561249;0,649149;0,699575;0,722151;0,735884;0,753794;0,756318;0,610861
107;0,004272;0,399723;0,526327;0,540406;0,552744;0,591134;0,660254;0,696977;0,719926;0,733897;0,752421;0,756318;0,617381
108;0,203692;0,408570;0,523797;0,539826;0,546798;0,558658;0,633822;0,684832;0,715402;0,733731;0,751821;0,756318;0,609726
109;0,203692;0,418147;0,528393;0,543689;0,553744;0,582118;0,666894;0,696405;0,721541;0,735971;0,752247;0,756318;0,619915
110;0,174783;0,374511;0,521862;0,545616;0,562329;0,631451;0,688849;0,713089;0,727592;0,740854;0,753865;0,756400;0,626002
111;0,112493;0,390390;0,540826;0,570372;0,655110;0,686615;0,709613;0,725071;0,732487;0,744811;0,754090;0,756400;0,650938
112;0,217042;0,419926;0,551999;0,591165;0,680294;0,707408;0,723980;0,733482;0,742251;0,750838;0,754860;0,756495;0,665620
113;0,234451;0,431307;0,549586;0,583110;0,673426;0,703400;0,720382;0,731582;0,740391;0,749462;0,754874;0,756495;0,663752
114;0,235948;0,468716;0,560799;0,635241;0,684925;0,709029;0,722919;0,731962;0,743118;0,750718;0,754980;0,756495;0,676241
115;0,235948;0,510123;0,588306;0,670341;0,699169;0,716307;0,730410;0,737156;0,749781;0,752865;0,755075;0,756495;0,690953
116;-0,030150;0,494885;0,592233;0,658248;0,695064;0,714565;0,727508;0,737033;0,748273;0,752727;0,754812;0,756495;0,687535
117;-0,030150;0,456623;0,614036;0,667172;0,699533;0,713191;0,724695;0,734972;0,743309;0,751850;0,754713;0,756495;0,686009
118;0,020674;0,450428;0,630220;0,670666;0,700296;0,715964;0,728720;0,735327;0,742300;0,749811;0,754003;0,756495;0,687773
119;0,028578;0,549532;0,681970;0,701635;0,712857;0,721136;0,733126;0,736497;0,745384;0,752105;0,754493;0,756495;0,708874
120;0,557797;0,604024;0,674100;0,701431;0,713276;0,722105;0,732385;0,739818;0,749437;0,752649;0,754805;0,756495;0,714403
121;0,557797;0,607542;0,681614;0,706134;0,714690;0,723548;0,732745;0,737795;0,748373;0,752305;0,755045;0,756495;0,715979
122;0,239750;0,601106;0,689880;0,708892;0,716603;0,726352;0,733098;0,740565;0,751136;0,753345;0,756021;0,756519;0,717700
123;0,558973;0,633776;0,704378;0,717412;0,727791;0,733170;0,738665;0,749527;0,752413;0,753538;0,755651;0,756519;0,726632
124;0,304834;0,612717;0,700017;0,716982;0,726338;0,732152;0,736948;0,749135;0,752660;0,753966;0,755534;0,756519;0,723645
125;0,304834;0,603487;0,699316;0,716890;0,725882;0,730393;0,734741;0,745202;0,752331;0,753587;0,755458;0,756519;0,721729
