Generation;Worst;0-10%;10-20%;20-30%;30-40%;40-50%;50-60%;60-70%;70-80%;80-90%;90-100%;Best;Average
0;0,040000;0,243600;0,272000;0,274400;0,322000;0,328000;0,328000;0,366400;0,400000;0,400000;0,432000;0,648000;0,336640
1;0,256000;0,270000;0,272000;0,292400;0,328000;0,328000;0,342800;0,399200;0,400000;0,400000;0,470400;0,648000;0,350280
2;0,032000;0,248800;0,274000;0,328000;0,328000;0,342400;0,399600;0,400000;0,400000;0,400000;0,525600;0,648000;0,364640
3;0,272000;0,272000;0,292000;0,328000;0,341600;0,398800;0,400000;0,400000;0,400000;0,433600;0,630400;0,648000;0,389640
4;0,264000;0,271600;0,276000;0,317600;0,328400;0,396000;0,400000;0,400000;0,400000;0,477600;0,642000;0,648000;0,390920
5;0,056000;0,256400;0,309200;0,328000;0,362800;0,400000;0,400000;0,400000;0,404400;0,560400;0,645200;0,648000;0,406640
6;0,040000;0,236400;0,323600;0,340400;0,399200;0,400000;0,400000;0,400800;0,479200;0,616800;0,653600;0,776000;0,425000
7;0,272000;0,296800;0,351600;0,400000;0,400000;0,400000;0,400000;0,444400;0,570800;0,640000;0,668400;0,776000;0,457200
8;0,272000;0,310000;0,391200;0,400000;0,400000;0,400000;0,437200;0,538800;0,626400;0,646400;0,711600;0,776000;0,486160
9;0,272000;0,312000;0,392800;0,400000;0,400000;0,400400;0,477600;0,581200;0,642400;0,649600;0,736400;0,776000;0,499240
10;0,272000;0,308800;0,398800;0,400000;0,400000;0,457200;0,542800;0,628000;0,646400;0,662000;0,738400;0,776000;0,518240
11;0,272000;0,310400;0,385200;0,400000;0,400000;0,473200;0,550000;0,613200;0,644000;0,663200;0,750000;0,776000;0,518920
12;0,272000;0,351200;0,400000;0,400000;0,478800;0,550800;0,619600;0,646000;0,658000;0,687600;0,779200;0,840000;0,557120
13;0,272000;0,328800;0,400000;0,432000;0,527200;0,562400;0,618000;0,643600;0,656800;0,694000;0,778800;0,840000;0,564160
14;0,272000;0,353600;0,405600;0,500800;0,542400;0,566000;0,606000;0,642400;0,656400;0,702000;0,782000;0,840000;0,575720
15;0,272000;0,354000;0,428000;0,514400;0,545600;0,572400;0,603600;0,639200;0,657600;0,706000;0,787200;0,840000;0,580800
16;0,272000;0,372800;0,462400;0,535200;0,563600;0,590400;0,625600;0,645200;0,663600;0,731200;0,793200;0,840000;0,598320
17;0,272000;0,362800;0,455200;0,539600;0,564800;0,591200;0,630000;0,650000;0,666000;0,742400;0,806000;0,840000;0,600800
18;0,272000;0,349200;0,463200;0,543600;0,564800;0,594000;0,633200;0,651200;0,678000;0,769600;0,803600;0,840000;0,605040
19;0,272000;0,370400;0,498000;0,544400;0,569200;0,598400;0,642800;0,655200;0,731600;0,776000;0,808000;0,840000;0,619400
20;0,328000;0,386000;0,485200;0,543200;0,559200;0,601600;0,649600;0,675200;0,772400;0,776000;0,812000;0,840000;0,626040
21;0,328000;0,414800;0,527200;0,563600;0,599600;0,651200;0,691200;0,772400;0,776000;0,776000;0,821600;0,840000;0,659360
22;0,272000;0,439600;0,548800;0,575200;0,624800;0,660400;0,735600;0,776000;0,776000;0,790800;0,840000;0,840000;0,676720
23;0,272000;0,395200;0,540400;0,579600;0,621200;0,669600;0,758400;0,776000;0,776000;0,788400;0,840400;0,848000;0,674520
24;0,272000;0,371200;0,534000;0,598000;0,664800;0,762000;0,776000;0,776000;0,776400;0,820800;0,840800;0,848000;0,692000
25;0,272000;0,415200;0,573600;0,640400;0,730800;0,775200;0,776000;0,776000;0,776000;0,827600;0,842400;0,872000;0,713320
26;0,272000;0,466400;0,630800;0,724000;0,770000;0,776000;0,776000;0,776000;0,784000;0,836000;0,850400;0,888000;0,738960
27;0,400000;0,466000;0,640400;0,748000;0,772000;0,776000;0,776000;0,776000;0,795200;0,837600;0,853600;0,888000;0,744080
28;0,400000;0,550400;0,726000;0,766400;0,776000;0,776000;0,776000;0,776000;0,804000;0,837200;0,858000;0,896000;0,764600
29;0,368000;0,567600;0,738000;0,765200;0,774800;0,776000;0,776000;0,776000;0,798000;0,833600;0,860400;0,896000;0,766560
30;0,448000;0,573200;0,732000;0,762400;0,774000;0,776000;0,776000;0,776000;0,802000;0,836400;0,863200;0,896000;0,767120
31;0,408000;0,566400;0,732400;0,763200;0,775600;0,776000;0,776000;0,776000;0,808000;0,839600;0,878800;0,904000;0,769200
32;0,376000;0,503200;0,714400;0,760000;0,773600;0,776000;0,776000;0,776000;0,796800;0,836400;0,883600;0,904000;0,759600
33;0,328000;0,520000;0,708800;0,759200;0,774400;0,776000;0,776000;0,776000;0,801200;0,835600;0,882000;0,904000;0,760920
34;0,272000;0,498800;0,689600;0,745600;0,769600;0,776000;0,776000;0,776400;0,814800;0,850400;0,890000;0,904000;0,758720
35;0,480000;0,622000;0,730800;0,760000;0,772400;0,776000;0,776000;0,793200;0,833600;0,860400;0,895200;0,912000;0,781960
36;0,328000;0,562400;0,729600;0,756400;0,774400;0,776000;0,776000;0,798000;0,834000;0,857600;0,891200;0,912000;0,775560
37;0,384000;0,552000;0,701600;0,741200;0,769200;0,776000;0,776000;0,782400;0,825600;0,846400;0,885200;0,912000;0,765560
38;0,344000;0,539600;0,711200;0,743200;0,769200;0,776000;0,776000;0,792000;0,829200;0,846800;0,882400;0,912000;0,766560
39;0,408000;0,586800;0,715200;0,750400;0,772000;0,776000;0,778400;0,816000;0,841200;0,867200;0,890800;0,912000;0,779400
40;0,272000;0,592400;0,737200;0,765600;0,776000;0,776000;0,795600;0,831200;0,849600;0,876400;0,892800;0,912000;0,789280
41;0,520000;0,594000;0,739200;0,772800;0,776000;0,795200;0,822000;0,838400;0,854800;0,882800;0,894000;0,912000;0,796920
42;0,520000;0,669600;0,759600;0,776000;0,776000;0,796400;0,820400;0,836400;0,845200;0,877600;0,892400;0,912000;0,804960
43;0,280000;0,592400;0,755600;0,776000;0,776000;0,800400;0,823600;0,840000;0,852800;0,881200;0,890000;0,896000;0,798800
44;0,360000;0,621200;0,753600;0,776000;0,776800;0,804000;0,816400;0,836400;0,846800;0,880000;0,890400;0,904000;0,800160
45;0,376000;0,604000;0,743600;0,776000;0,782800;0,810800;0,829600;0,839600;0,845600;0,876000;0,892400;0,912000;0,800040
46;0,416000;0,649200;0,768800;0,778000;0,810000;0,830000;0,838400;0,842400;0,860000;0,886400;0,894400;0,912000;0,815760
47;0,400000;0,642000;0,765200;0,776000;0,806400;0,828400;0,832400;0,840000;0,843200;0,877200;0,893200;0,912000;0,810400
48;0,416000;0,626800;0,752800;0,776800;0,806400;0,824800;0,832000;0,837600;0,842800;0,866800;0,890000;0,904000;0,805680
49;0,400000;0,671200;0,773600;0,795600;0,822000;0,832000;0,833200;0,840000;0,844400;0,871600;0,892000;0,912000;0,817560
50;0,400000;0,675600;0,774800;0,811600;0,829600;0,832400;0,840000;0,840000;0,850800;0,879600;0,893200;0,912000;0,822760
51;0,440000;0,648000;0,775600;0,808000;0,830400;0,832000;0,839200;0,840000;0,847200;0,875200;0,891600;0,904000;0,818720
52;0,440000;0,649200;0,778800;0,814400;0,831200;0,834800;0,840000;0,841200;0,849600;0,875200;0,892000;0,912000;0,820640
53;0,328000;0,684000;0,782800;0,818400;0,831600;0,832800;0,840000;0,840000;0,846800;0,876400;0,892000;0,904000;0,824480
54;0,536000;0,647600;0,801600;0,830400;0,832000;0,839200;0,840000;0,840000;0,848400;0,881600;0,894400;0,904000;0,825520
55;0,400000;0,630400;0,781200;0,823600;0,832000;0,837600;0,840000;0,844400;0,856400;0,881200;0,896000;0,912000;0,822280
56;0,352000;0,580400;0,776000;0,822800;0,832000;0,836000;0,840000;0,847200;0,870000;0,888000;0,898000;0,912000;0,819040
57;0,328000;0,578400;0,785200;0,825200;0,832000;0,838400;0,841600;0,853200;0,877600;0,888800;0,900000;0,920000;0,822040
58;0,560000;0,631600;0,782000;0,821600;0,832000;0,835200;0,840000;0,848800;0,873600;0,888000;0,900400;0,928000;0,825320
59;0,360000;0,577600;0,783600;0,827600;0,832000;0,835600;0,840000;0,850000;0,873200;0,889600;0,907200;0,928000;0,821640
60;0,272000;0,567200;0,809200;0,831200;0,832000;0,838800;0,842400;0,857600;0,878000;0,892000;0,906800;0,928000;0,825520
61;0,328000;0,603600;0,824000;0,833600;0,840000;0,845200;0,857600;0,864800;0,884800;0,896000;0,912800;0,928000;0,836240
62;0,328000;0,594800;0,823600;0,834800;0,840000;0,843600;0,858000;0,870800;0,887600;0,896000;0,912400;0,928000;0,836160
63;0,592000;0,775600;0,828400;0,836800;0,840400;0,850400;0,864000;0,876000;0,888400;0,896800;0,910400;0,928000;0,856720
64;0,488000;0,712400;0,827200;0,835200;0,840000;0,841600;0,858000;0,869200;0,888000;0,895200;0,913200;0,928000;0,848000
65;0,352000;0,613600;0,817600;0,831600;0,838000;0,840000;0,851600;0,870400;0,888000;0,893200;0,912400;0,928000;0,835640
66;0,360000;0,592800;0,823600;0,832000;0,838800;0,840000;0,851200;0,871600;0,888000;0,894800;0,916000;0,928000;0,834880
67;0,352000;0,620800;0,831200;0,836400;0,840000;0,854400;0,871200;0,886800;0,892000;0,898800;0,918800;0,928000;0,845040
68;0,328000;0,713600;0,830800;0,834800;0,840000;0,853600;0,879600;0,889200;0,896000;0,900800;0,918400;0,928000;0,855680
69;0,352000;0,702000;0,827600;0,834400;0,840000;0,850400;0,875600;0,888000;0,895200;0,899600;0,916400;0,928000;0,852920
70;0,328000;0,656400;0,826400;0,832000;0,837200;0,842800;0,866000;0,885200;0,891200;0,896800;0,912400;0,928000;0,844640
71;0,360000;0,760000;0,828400;0,832000;0,837200;0,844000;0,864000;0,882800;0,890000;0,897600;0,910800;0,928000;0,854680
72;0,352000;0,702000;0,826800;0,832000;0,836800;0,843600;0,860400;0,884400;0,892000;0,898400;0,911200;0,928000;0,848760
73;0,384000;0,640800;0,826400;0,832000;0,836000;0,840400;0,859200;0,884400;0,894800;0,899600;0,914000;0,928000;0,842760
74;0,352000;0,630400;0,830400;0,832800;0,840000;0,851200;0,874400;0,888000;0,895200;0,900000;0,915600;0,928000;0,845800
75;0,352000;0,723200;0,832000;0,835600;0,843600;0,863600;0,884400;0,893200;0,896000;0,905600;0,922000;0,928000;0,859920
76;0,328000;0,642400;0,831600;0,834000;0,840000;0,856000;0,880000;0,890800;0,896000;0,898800;0,918400;0,928000;0,848800
77;0,328000;0,596000;0,828000;0,832000;0,838000;0,843600;0,866400;0,884400;0,892800;0,896000;0,911600;0,928000;0,838880
78;0,336000;0,497200;0,824400;0,832000;0,838400;0,850000;0,875600;0,888000;0,895600;0,900800;0,917200;0,928000;0,831920
79;0,272000;0,566400;0,826800;0,834400;0,842800;0,860800;0,882000;0,893200;0,896800;0,904800;0,922800;0,928000;0,843080
80;0,352000;0,712800;0,831200;0,839600;0,845600;0,863600;0,882400;0,894000;0,896000;0,903600;0,919200;0,928000;0,858800
81;0,448000;0,710000;0,830000;0,840000;0,845200;0,860400;0,874000;0,889200;0,896000;0,900400;0,914400;0,928000;0,855960
82;0,272000;0,589600;0,830400;0,840000;0,844800;0,856000;0,876000;0,892400;0,896000;0,903600;0,914400;0,928000;0,844320
83;0,336000;0,635200;0,822400;0,838400;0,841600;0,856800;0,873600;0,891200;0,896000;0,899200;0,912400;0,928000;0,846680
84;0,328000;0,643600;0,830800;0,840000;0,852400;0,866000;0,884800;0,894400;0,896000;0,897200;0,909600;0,928000;0,851480
