Generation;Worst;0-10%;10-20%;20-30%;30-40%;40-50%;50-60%;60-70%;70-80%;80-90%;90-100%;Najboljši;Povprečje
0;0,112000;0,242743;0,272000;0,272000;0,322743;0,328000;0,328000;0,365714;0,400000;0,400000;0,424457;0,624000;0,335566
1;0,000000;0,231086;0,272000;0,309257;0,328000;0,328000;0,371657;0,400000;0,400000;0,400000;0,460571;0,648000;0,350057
2;0,000000;0,243200;0,277714;0,328000;0,328000;0,352000;0,400000;0,400000;0,400000;0,400000;0,491657;0,648000;0,362057
3;0,000000;0,244571;0,293257;0,328000;0,328000;0,368686;0,400000;0,400000;0,400000;0,400000;0,513829;0,648000;0,367634
4;0,000000;0,248000;0,291886;0,328000;0,328000;0,386286;0,400000;0,400000;0,400000;0,400000;0,538286;0,648000;0,372046
5;0,152000;0,257829;0,300343;0,328000;0,334171;0,395657;0,400000;0,400000;0,400000;0,400686;0,551314;0,648000;0,376800
6;0,040000;0,254857;0,307657;0,328000;0,334857;0,397943;0,400000;0,400000;0,400000;0,405257;0,558171;0,648000;0,378674
7;0,112000;0,266057;0,326857;0,328000;0,353371;0,400000;0,400000;0,400000;0,400000;0,406171;0,574171;0,672000;0,385463
8;0,000000;0,256914;0,326400;0,328000;0,334171;0,399086;0,400000;0,400000;0,400000;0,418514;0,583086;0,672000;0,384617
9;0,000000;0,236114;0,327086;0,328000;0,354057;0,400000;0,400000;0,400000;0,400000;0,421257;0,600686;0,672000;0,386720
10;0,000000;0,253257;0,328000;0,328000;0,356114;0,400000;0,400000;0,400000;0,400000;0,421714;0,604343;0,672000;0,389143
11;0,000000;0,263314;0,328000;0,328000;0,375314;0,400000;0,400000;0,400000;0,400000;0,438400;0,615543;0,672000;0,394857
12;0,160000;0,261943;0,328000;0,328229;0,389029;0,400000;0,400000;0,400000;0,400000;0,476343;0,626743;0,672000;0,401029
13;0,152000;0,276343;0,328000;0,330286;0,391771;0,400000;0,400000;0,400000;0,400000;0,444114;0,616457;0,672000;0,398697
14;0,000000;0,286171;0,328000;0,352229;0,400000;0,400000;0,400000;0,400000;0,400229;0,504457;0,646171;0,680000;0,411726
15;0,000000;0,284800;0,328000;0,357029;0,400000;0,400000;0,400000;0,400000;0,433143;0,586057;0,660800;0,680000;0,424983
16;0,088000;0,293029;0,328000;0,357257;0,400000;0,400000;0,400000;0,400000;0,463086;0,610057;0,660800;0,680000;0,431223
17;0,128000;0,300571;0,339657;0,399543;0,400000;0,400000;0,400000;0,420800;0,568914;0,635886;0,664000;0,680000;0,452937
18;0,000000;0,304000;0,351086;0,400000;0,400000;0,400000;0,400000;0,468343;0,590857;0,641143;0,664457;0,680000;0,461989
19;0,272000;0,314514;0,370743;0,400000;0,400000;0,400000;0,404800;0,511771;0,605257;0,645257;0,664457;0,680000;0,471680
20;0,152000;0,318171;0,367086;0,400000;0,400000;0,400000;0,414629;0,544229;0,610286;0,644114;0,663771;0,680000;0,476229
21;0,000000;0,312686;0,389486;0,400000;0,400000;0,415086;0,524114;0,585143;0,627886;0,649371;0,665143;0,680000;0,496891
22;0,272000;0,342400;0,400000;0,400000;0,402286;0,496229;0,555657;0,602514;0,633143;0,649829;0,667200;0,680000;0,514926
23;0,328000;0,355886;0,400000;0,400000;0,430629;0,526857;0,573943;0,610286;0,637029;0,651886;0,668114;0,680000;0,525463
24;0,328000;0,357257;0,400000;0,400229;0,460343;0,528914;0,574857;0,614857;0,638400;0,652114;0,669943;0,688000;0,529691
25;0,000000;0,334171;0,400000;0,400229;0,455771;0,524343;0,571886;0,616457;0,639543;0,653257;0,669257;0,688000;0,526491
26;0,328000;0,357943;0,400000;0,402971;0,483657;0,541257;0,591314;0,621714;0,643200;0,655543;0,670400;0,688000;0,536800
27;0,000000;0,347886;0,400000;0,426286;0,516571;0,560457;0,601371;0,629714;0,647771;0,656686;0,670857;0,688000;0,545760
28;0,000000;0,369600;0,400914;0,465371;0,530286;0,578514;0,609600;0,633600;0,646857;0,656000;0,670171;0,704000;0,556091
29;0,328000;0,383771;0,413486;0,499429;0,551314;0,587200;0,614171;0,637257;0,651657;0,656914;0,675429;0,744000;0,567063
30;0,328000;0,386743;0,425143;0,512229;0,560000;0,596571;0,625600;0,644114;0,651657;0,656000;0,676571;0,744000;0,573463
