Generation;Worst;0-10%;10-20%;20-30%;30-40%;40-50%;50-60%;60-70%;70-80%;80-90%;90-100%;Najboljši;Povprečje
0;-1,000000;-1,000000;-1,000000;-1,000000;-1,000000;-1,000000;-1,000000;-1,000000;-1,000000;-0,845520;0,117755;0,443264;-0,872777
1;-1,000000;-1,000000;-1,000000;-1,000000;-0,323361;-0,045091;0,018559;0,083795;0,124660;0,309927;0,421039;0,545749;-0,241047
2;-1,000000;-1,000000;-1,000000;-0,884887;-0,198538;-0,025426;0,032925;0,091447;0,155226;0,323379;0,439299;0,545749;-0,206658
3;-1,000000;-1,000000;-1,000000;-1,000000;-0,213345;-0,010970;0,030084;0,094110;0,169925;0,334196;0,457929;0,545749;-0,213807
4;-1,000000;-1,000000;-1,000000;-1,000000;-0,231454;0,002722;0,060159;0,125067;0,254523;0,372274;0,490895;0,581254;-0,192581
5;-1,000000;-1,000000;-1,000000;-0,903001;-0,083448;0,011543;0,087013;0,181203;0,295708;0,387198;0,495068;0,581254;-0,152872
6;-1,000000;-1,000000;-1,000000;-1,000000;-0,213441;0,021907;0,107267;0,215588;0,317778;0,406800;0,526601;0,603045;-0,161750
7;-1,000000;-1,000000;-1,000000;-0,909520;0,001446;0,081690;0,188543;0,277865;0,352490;0,431181;0,536546;0,603045;-0,103976
8;-1,000000;-1,000000;-1,000000;-0,508926;0,017310;0,096643;0,209296;0,298948;0,363666;0,434921;0,531351;0,603045;-0,055679
9;-1,000000;-1,000000;-0,858064;-0,001159;0,079541;0,184263;0,253230;0,303988;0,380612;0,445171;0,540384;0,603045;0,032797
10;-1,000000;-1,000000;-1,000000;-0,244129;0,067431;0,197038;0,272343;0,320145;0,397473;0,466402;0,564146;0,651903;0,004085
11;-1,000000;-1,000000;-1,000000;-0,224325;0,080338;0,201760;0,274416;0,326770;0,411423;0,476249;0,580853;0,663190;0,012749
12;-1,000000;-1,000000;-1,000000;-0,285477;0,179667;0,267895;0,309922;0,377153;0,434353;0,504312;0,613819;0,688998;0,040164
13;-1,000000;-1,000000;-1,000000;-0,181137;0,158036;0,240109;0,292140;0,355792;0,423889;0,488747;0,612382;0,688998;0,038996
14;-1,000000;-1,000000;-0,672879;0,069254;0,202908;0,270462;0,313472;0,371051;0,438198;0,527459;0,637538;0,688998;0,115746
15;-1,000000;-1,000000;-0,732203;0,077153;0,216672;0,274244;0,311456;0,375424;0,451688;0,536280;0,647314;0,719446;0,115803
16;-1,000000;-1,000000;-0,415093;0,138540;0,223310;0,272863;0,312210;0,387758;0,465085;0,522789;0,636392;0,719446;0,154385
17;-1,000000;-1,000000;-0,450726;0,148048;0,231535;0,287432;0,339635;0,390936;0,444660;0,504746;0,638017;0,719446;0,153428
18;-1,000000;-1,000000;-0,616302;0,114073;0,219372;0,283352;0,341282;0,412248;0,482880;0,538867;0,643799;0,719446;0,141957
19;-1,000000;-1,000000;-0,425196;0,104867;0,204881;0,278641;0,357804;0,439083;0,503724;0,565733;0,653175;0,719446;0,168271
20;-1,000000;-1,000000;-0,058289;0,131835;0,218911;0,293212;0,374862;0,454023;0,510474;0,569284;0,652488;0,719446;0,214680
21;-1,000000;-1,000000;-0,133562;0,136640;0,267303;0,346734;0,403714;0,453305;0,510703;0,576197;0,657337;0,719446;0,221837
22;-1,000000;-1,000000;-0,131420;0,208470;0,291833;0,368264;0,421277;0,477047;0,532898;0,587381;0,657590;0,719446;0,241334
23;-1,000000;-0,666390;0,074705;0,212535;0,297477;0,372385;0,436647;0,471115;0,525577;0,580987;0,651699;0,719446;0,295674
24;-1,000000;-0,593343;0,105954;0,231568;0,294732;0,375586;0,442441;0,490421;0,537713;0,582719;0,658626;0,731748;0,312642
25;-1,000000;-0,960964;0,035577;0,221652;0,282298;0,373347;0,441469;0,486580;0,530936;0,575460;0,636568;0,731748;0,262292
26;-1,000000;-0,585564;0,165452;0,256737;0,346648;0,422373;0,466103;0,497052;0,541597;0,582982;0,639938;0,731748;0,333332
27;-1,000000;-0,883106;0,031087;0,244024;0,311469;0,391950;0,460436;0,506060;0,541861;0,587129;0,658498;0,802133;0,284941
28;-1,000000;-0,577525;0,158870;0,253506;0,327414;0,423235;0,481928;0,524133;0,559860;0,590647;0,657191;0,802133;0,339926
29;-1,000000;-0,532563;0,157563;0,263978;0,360046;0,436516;0,486386;0,529571;0,559758;0,597160;0,683713;0,802133;0,354213
30;-1,000000;-0,644012;0,116367;0,245738;0,307872;0,389190;0,459808;0,513757;0,555876;0,587032;0,663928;0,802133;0,319556
31;-1,000000;-0,310544;0,176800;0,263500;0,331766;0,393386;0,452745;0,516518;0,561578;0,587971;0,660670;0,802133;0,363439
32;-1,000000;-0,536129;0,174069;0,263147;0,342860;0,402447;0,463592;0,521025;0,559000;0,584667;0,668089;0,807147;0,344277
33;-1,000000;-0,390135;0,232791;0,310134;0,386010;0,444211;0,498167;0,542263;0,568294;0,595916;0,675651;0,807147;0,386330
34;-1,000000;-0,303652;0,233035;0,313470;0,363998;0,441177;0,499684;0,542705;0,570868;0,593130;0,681998;0,807147;0,393641
