Generation;Worst;0-10%;10-20%;20-30%;30-40%;40-50%;50-60%;60-70%;70-80%;80-90%;90-100%;Best;Average
0;-1,000000;-1,000000;-1,000000;-1,000000;-1,000000;-1,000000;-1,000000;-1,000000;-1,000000;-0,649176;0,090601;0,491385;-0,855858
1;-1,000000;-1,000000;-1,000000;-0,467491;-0,109502;-0,019082;0,006344;0,049374;0,126022;0,172555;0,354242;0,535318;-0,188754
2;-1,000000;-1,000000;-1,000000;-0,592444;-0,092230;0,000151;0,025345;0,094665;0,152429;0,215107;0,454881;0,553848;-0,174210
3;-1,000000;-1,000000;-1,000000;-0,571804;-0,049854;0,006041;0,060696;0,126038;0,171156;0,280843;0,495708;0,553848;-0,148117
4;-1,000000;-1,000000;-1,000000;-0,382223;-0,011074;0,040639;0,127292;0,166207;0,220370;0,375960;0,513068;0,553848;-0,094976
5;-1,000000;-1,000000;-0,984347;-0,077920;0,036314;0,128933;0,161476;0,189270;0,281445;0,433253;0,525992;0,698508;-0,030558
6;-1,000000;-1,000000;-0,980168;-0,043852;0,069541;0,140910;0,176291;0,224586;0,315748;0,440124;0,535129;0,698508;-0,012169
7;-1,000000;-1,000000;-1,000000;-0,415282;0,055140;0,140906;0,183208;0,227751;0,321376;0,436294;0,540175;0,698508;-0,051043
8;-1,000000;-1,000000;-1,000000;-0,140863;0,090439;0,156770;0,191706;0,254289;0,350701;0,460092;0,540194;0,698508;-0,009667
9;-1,000000;-1,000000;-1,000000;-0,367856;0,073902;0,157531;0,189965;0,244549;0,347086;0,469701;0,543456;0,698508;-0,034166
10;-1,000000;-1,000000;-1,000000;-0,233698;0,094311;0,163204;0,198213;0,260764;0,358599;0,465458;0,546207;0,698508;-0,014694
11;-1,000000;-1,000000;-1,000000;-0,032729;0,110387;0,171526;0,205606;0,285797;0,363587;0,455179;0,543987;0,698508;0,010334
12;-1,000000;-1,000000;-1,000000;-0,249386;0,093695;0,161441;0,197979;0,290151;0,371547;0,464015;0,543270;0,698508;-0,012729
